Taylor(n),Interval,Mean(b),Mean(c_ea),Mean(c_el),Mean(mu_l),Mean(c_pa),Mean(mu_a),Med(b),Med(c_ea),Med(c_el),Med(mu_l),Med(c_pa),Med(mu_a)
4,0.2,0.00024183343245378041,0.0001987561480348232,7.493134331481755e-5,4.957639284900674e-16,0.0003008320969762817,0.0016108680325547114,3.902978711639505e-5,3.1787413799509224e-5,7.862037821867588e-6,4.80785198214135e-16,0.0002451563764837163,0.0014990433121773025
5,0.2,2.83472268102169e-5,2.323077003743548e-5,7.702933365665403e-6,4.957515002746769e-16,2.230248768915403e-5,7.810191618564344e-5,3.058079677797598e-6,2.847168181496745e-6,4.753929310949398e-7,4.80785198214135e-16,1.650278179362834e-5,5.7453073945410444e-5
6,0.2,3.0617604782075083e-6,2.49076880467552e-6,7.309888331413066e-7,4.971268921847978e-16,1.730340125073137e-6,9.080810472240143e-6,2.432479423343187e-7,2.2033402328815118e-7,2.3427465148583252e-8,4.80785198214135e-16,1.171893300517576e-6,8.043688227426328e-6
7,0.2,2.9459755188379345e-7,2.381012597572592e-7,6.23247216279634e-8,4.957639284900674e-16,1.0016535532306682e-7,3.98153307533112e-7,1.3140245588372404e-8,1.2267630244847462e-8,1.0189742464791934e-9,4.80785198214135e-16,5.9479862061774486e-8,2.838016453504296e-7
8,0.2,2.5772743405150976e-8,2.0686625119519345e-8,4.85495784496405e-9,4.957639284900674e-16,6.151502225175304e-9,3.1097816010879985e-8,6.753587921452657e-10,5.454405222115021e-10,4.893835111152193e-11,4.80785198214135e-16,3.295925990195331e-9,2.589764731606924e-8
9,0.2,2.065239482117629e-9,1.6457669908012262e-9,3.4771894759872523e-10,4.943885365799464e-16,2.9676038857137145e-10,1.2415226991275845e-9,2.7229312192379592e-11,2.201140605010838e-11,1.7004515618225132e-12,4.80785198214135e-16,1.3420717164790912e-10,8.580657820652995e-10
10,0.2,1.5380706893149292e-10,1.2174322455826002e-10,2.312094184228752e-11,4.957639284900674e-16,1.496927431199872e-11,7.213740969755103e-11,3.0022644850623904e-12,2.4986000689912832e-12,3.963839939980093e-13,4.80785198214135e-16,6.088945691006401e-12,5.486638214497159e-11
1,0.25,0.3392862248975627,0.3373675558648593,0.3340845185137809,5.097047106030481e-16,0.7635220975228233,0.74703486780889,0.03988398241061283,0.0371144549942416,0.03110947653838135,4.616569563218213e-16,1.0,1.0
2,0.25,0.2347457196678991,0.2346770596023054,0.23380319790440815,5.119066135590891e-16,0.4075918567540589,0.48097782745316403,0.006199817136193582,0.005837546770024798,0.004086521610051746,4.706828431965463e-16,0.04329868980169561,0.1762764766639059
3,0.25,0.012496090309853991,0.012100067236824295,0.011271566546287574,5.105528458868032e-16,0.043341452950213834,0.04795751748498855,0.0006989210289476352,0.0006277038491629994,0.00026858093591704377,4.616569563218213e-16,0.0027054168952992163,0.007635602738104394
4,0.25,0.02047475729594642,0.020386626617744767,0.02016488057232678,5.135093898989629e-16,0.01035358499875414,0.011664675800325479,6.537947468792838e-5,6.643119982709903e-5,2.063078419831955e-5,4.616569563218213e-16,0.00025759090263698786,0.001554450405869644
5,0.25,6.986578892512913e-5,5.7504734347142296e-5,2.864130443669131e-5,5.143763624901512e-16,2.853839147276423e-5,9.16665219228595e-5,4.885344791112157e-6,5.500708773282625e-6,1.2398266858591643e-6,4.706828431965463e-16,1.7629335596221548e-5,7.332681303322149e-5
6,0.25,9.002909648467797e-6,7.556609975637625e-6,3.3901221675709574e-6,5.135282272063961e-16,2.269000772969305e-6,1.0010027503034998e-5,4.3222897507754284e-7,3.9437081077614516e-7,6.417160547340651e-8,4.706828431965463e-16,1.260541704837769e-6,8.941923562281115e-6
7,0.25,1.0516538785816836e-6,9.141534161967695e-7,3.5975236012939165e-7,5.118877762516559e-16,1.41432827364916e-7,4.929826867386965e-7,2.455356506765067e-8,2.228282177413014e-8,2.894621683056817e-9,4.616569563218213e-16,6.493966248147934e-8,3.919588420951521e-7
8,0.25,1.1459138976272492e-7,1.0206353933772024e-7,3.491066578532291e-8,5.113263242503552e-16,8.87417930220368e-9,3.669226556544314e-8,1.2084232901962087e-9,1.1160510858960455e-9,1.515712960052159e-10,4.616569563218213e-16,3.6136791155734315e-9,3.090459906521387e-8
9,0.25,1.1516093644589633e-8,1.0511820541075787e-8,3.1157432222337137e-9,5.099913938855024e-16,4.6221413458517473e-10,1.6319767347783274e-9,5.318534087525461e-11,5.0505312012500725e-11,8.257032706019357e-12,4.616569563218213e-16,1.4973249047580464e-10,1.21717590963781e-9
10,0.25,1.0756540213452602e-9,1.0051891994953781e-9,2.573943239088605e-10,5.083697802381954e-16,2.3792803796236974e-11,9.202224171050432e-11,6.75671252834456e-12,6.069083986256222e-12,4.955882786431394e-13,4.616569563218213e-16,6.798246125854878e-12,6.918201056915291e-11
1,0.5,0.35109531036005753,0.34173018214722517,0.34104014863664517,5.993064904329036e-16,0.6537400320628541,0.728215881691628,0.11314179330790966,0.10725780934810966,0.10366188846426022,5.682586102791269e-16,1.0,1.0
2,0.5,0.5268315814203608,0.5233606778638167,0.5308679336273127,5.960725143336851e-16,0.3184425183694995,0.43020376296142876,0.8207725311561622,0.7078461906486493,0.7844655695167294,5.616966122926296e-16,0.05586114100128174,0.2275325473540757
3,0.5,0.07275231047082391,0.06682478367054938,0.06576487707829853,5.960725143336851e-16,0.025654775696264082,0.039601302395111684,0.00929259109112815,0.008413942829626906,0.005359428245661865,5.616966122926296e-16,0.0023582703212465875,0.01909066531184456
4,0.5,0.20597156095983443,0.20528581618256084,0.20480114355001688,5.960725143336851e-16,0.0007646481666954571,0.0030818548248050578,0.0017147493381832345,0.0018271955286624834,0.0011173627512614376,5.616966122926296e-16,0.0001999301692020467,0.002695664757784297
5,0.5,0.004503546402603744,0.0034362262179796405,0.0024753933486504815,6.015139499077055e-16,7.996317889360043e-5,0.0002839364919774845,0.0002883827440005081,0.00031439575671776416,0.00011954042354460215,5.682586102791269e-16,1.2972933236635912e-5,0.0002314680211059626
6,0.5,0.03140378865330265,0.0310360377984312,0.03061118133176399,5.993064904329036e-16,7.691749060139028e-6,2.755898819974696e-5,3.82589848170228e-5,4.2757251786209304e-5,1.4267283637896265e-5,5.682586102791269e-16,9.110314663812332e-7,2.1024695113954637e-5
7,0.5,0.00035316029289229195,0.0002666068464879095,0.0001597412037490519,6.003496543685737e-16,6.422796577659259e-7,2.0994737230514624e-6,5.812354139010317e-6,4.515693462776546e-6,1.4978564643189762e-6,5.633755773971643e-16,6.993999744138523e-8,1.3756946207684334e-6
8,0.5,7.689163746116516e-5,5.892139458455694e-5,3.113083576585711e-5,5.994442693476189e-16,4.9232676780407206e-8,1.5549171071990151e-7,6.406874990006976e-7,5.140083724434801e-7,1.402911057437695e-7,5.633755773971643e-16,4.387633371779089e-9,9.078012419407245e-8
9,0.5,1.4052457947274494e-5,1.1179144693799013e-5,5.240854827790552e-6,6.015139499077055e-16,0.01000000340238333,0.010000009909314348,6.347164140017019e-8,5.412915669451328e-8,1.2816045971978382e-8,5.682586102791269e-16,2.3203811289018743e-10,4.854058454175873e-9
10,0.5,2.4275944058732107e-6,2.004450579815599e-6,8.161680450831702e-7,5.98279973808487e-16,0.01000000021686809,0.010000000605532078,5.629136776038221e-9,4.579127512574473e-9,1.0415661064954973e-9,5.616966122926296e-16,1.0630853365068833e-11,2.5519523911529394e-10
