sim_num,interval_range,taylor_n,L_num_real_solutions,P_num_real_solutions,A_num_real_solutions,pred_parameters,sampled_parameters,param_intevals,L_all_real_solutions,P_all_real_solutions,A_all_real_solutions,offmul
45,0.2,2,2,1,2,"(b = 6.85249208246368, c_ea = 0.010872666821906463, c_el = 0.01243164533003975, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.887489542892074, c_el = 0.012390763352425033, c_ea = 0.010933903507304315, c_pa = 0.18832118268477865, mu_l = 0.0053841710364997235, mu_a = 0.008831273269097158)","(b = RealInterval{Float64}(5.2784, 7.917599999999999), c_el = RealInterval{Float64}(0.009672, 0.014508), c_ea = RealInterval{Float64}(0.00924, 0.013859999999999999), c_pa = RealInterval{Float64}(0.1644, 0.24659999999999999), mu_l = RealInterval{Float64}(0.0037600000000000003, 0.00564), mu_a = RealInterval{Float64}(0.0061032000000000005, 0.0091548))","[[0.08871783955343805, 0.16487557429514424, -0.08832014506683675], [6.85249208246368, 0.010872666821906463, 0.01243164533003975]]","[[0.03315684230788977, 0.13266247169820403], [0.005312768607296456, 0.00999045549056304]]",[[0.1883211826847784]],"[0.8501884875949144, 1.105097261639328, 0.9528521225313553]"
46,0.2,2,2,1,2,"(b = 0.0, c_ea = 0.0, c_el = 0.0, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 5.312799861084704, c_el = 0.012577185971822035, c_ea = 0.01353915251315218, c_pa = 0.18496070007978135, mu_l = 0.005410672506462093, mu_a = 0.009146529318183593)","(b = RealInterval{Float64}(5.2784, 7.917599999999999), c_el = RealInterval{Float64}(0.009672, 0.014508), c_ea = RealInterval{Float64}(0.00924, 0.013859999999999999), c_pa = RealInterval{Float64}(0.1644, 0.24659999999999999), mu_l = RealInterval{Float64}(0.0037600000000000003, 0.00564), mu_a = RealInterval{Float64}(0.0061032000000000005, 0.0091548))","[[1.991608396964557, 0.0025195394004285825, 0.02371210693302961], [5.177825583120387, 0.013261180885282596, 0.013028916935474588]]","[[0.005338509573447379, 0.010321302633462485], [0.03322477936805728, 0.13381784258281956]]",[[0.18496070007978158]],"[0.8501884875949144, 1.105097261639328, 0.9528521225313553]"
47,0.2,2,2,1,2,"(b = 0.0, c_ea = 0.0, c_el = 0.0, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 5.890739333039783, c_el = 0.013967154790844122, c_ea = 0.011515297899067758, c_pa = 0.1895032412326864, mu_l = 0.0038184858439992606, mu_a = 0.006160736537489814)","(b = RealInterval{Float64}(5.2784, 7.917599999999999), c_el = RealInterval{Float64}(0.009672, 0.014508), c_ea = RealInterval{Float64}(0.00924, 0.013859999999999999), c_pa = RealInterval{Float64}(0.1644, 0.24659999999999999), mu_l = RealInterval{Float64}(0.0037600000000000003, 0.00564), mu_a = RealInterval{Float64}(0.0061032000000000005, 0.0091548))","[[5.277155379521401, 0.010377972550518628, 0.014925307563116769], [2.1219470528815796, -0.00043492780572351486, 0.02446000368212772]]","[[0.034494533789363076, 0.14048197638673401], [0.0036452375017085935, 0.00705741944285324]]",[[0.18950324123268641]],"[0.8501884875949144, 1.105097261639328, 0.9528521225313553]"
48,0.2,2,2,1,2,"(b = 7.497721230533249, c_ea = 0.011345732308244658, c_el = 0.011781708345979445, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 7.506688229405819, c_el = 0.011769877950372326, c_ea = 0.011361843974413461, c_pa = 0.18209583818540678, mu_l = 0.004860618897316101, mu_a = 0.006662045422741923)","(b = RealInterval{Float64}(5.2784, 7.917599999999999), c_el = RealInterval{Float64}(0.009672, 0.014508), c_ea = RealInterval{Float64}(0.00924, 0.013859999999999999), c_pa = RealInterval{Float64}(0.1644, 0.24659999999999999), mu_l = RealInterval{Float64}(0.0037600000000000003, 0.00564), mu_a = RealInterval{Float64}(0.0061032000000000005, 0.0091548))","[[7.497721230533249, 0.011345732308244658, 0.011781708345979445], [0.11046733419330998, 0.15498221524785913, -0.08392799334300693]]","[[0.033705228757221345, 0.13514695895113377], [0.004759075380702375, 0.007657087166359097]]",[[0.18209583818540678]],"[0.8501884875949144, 1.105097261639328, 0.9528521225313553]"
49,0.2,2,2,1,2,"(b = 7.1835709969411266, c_ea = 0.012050161408041838, c_el = 0.012104712927918747, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 7.226034326141188, c_el = 0.01205241264441377, c_ea = 0.012113236380184841, c_pa = 0.21582259494997677, mu_l = 0.003944680653960777, mu_a = 0.007635405128607694)","(b = RealInterval{Float64}(5.2784, 7.917599999999999), c_el = RealInterval{Float64}(0.009672, 0.014508), c_ea = RealInterval{Float64}(0.00924, 0.013859999999999999), c_pa = RealInterval{Float64}(0.1644, 0.24659999999999999), mu_l = RealInterval{Float64}(0.0037600000000000003, 0.00564), mu_a = RealInterval{Float64}(0.0061032000000000005, 0.0091548))","[[0.22471993084174374, -0.06319899435648532, 0.07090983658316122], [7.1835709969411266, 0.012050161408041838, 0.012104712927918747]]","[[0.033802229466922996, 0.13428651549131282], [0.0038064992502619705, 0.008447741866472914]]",[[0.2158225949499768]],"[0.8501884875949144, 1.105097261639328, 0.9528521225313553]"
50,0.2,2,4,1,2,"(b = 6.552115573037758, c_ea = 0.011406109109158732, c_el = 0.010566688940987763, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.561533103516668, c_el = 0.01056547825248182, c_ea = 0.011423911397057866, c_pa = 0.20212356813827062, mu_l = 0.00429735475863506, mu_a = 0.008382914339682348)","(b = RealInterval{Float64}(5.2784, 7.917599999999999), c_el = RealInterval{Float64}(0.009672, 0.014508), c_ea = RealInterval{Float64}(0.00924, 0.013859999999999999), c_pa = RealInterval{Float64}(0.1644, 0.24659999999999999), mu_l = RealInterval{Float64}(0.0037600000000000003, 0.00564), mu_a = RealInterval{Float64}(0.0061032000000000005, 0.0091548))","[[0.0011848434363942917, 1.2558262301280159, -0.9172179876309721], [6.552115573037758, 0.011406109109158732, 0.010566688940987763], [11.768696703365801, 0.01682226020861619, 0.014384178319188463], [13.272548797435022, 0.01892621411691057, 0.01089892155095788]]","[[0.033826002535347705, 0.13647608606987216], [0.004173433949946293, 0.009244714652338159]]",[[0.2021235681382704]],"[0.8501884875949144, 1.105097261639328, 0.9528521225313553]"
51,0.2,2,4,1,2,"(b = 6.877633096857202, c_ea = 0.013675991297649893, c_el = 0.010159328371631355, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.872706767745652, c_el = 0.010159663308051977, c_ea = 0.013667585587420268, c_pa = 0.2268217594263659, mu_l = 0.005552223021109023, mu_a = 0.008653820152606627)","(b = RealInterval{Float64}(5.2784, 7.917599999999999), c_el = RealInterval{Float64}(0.009672, 0.014508), c_ea = RealInterval{Float64}(0.00924, 0.013859999999999999), c_pa = RealInterval{Float64}(0.1644, 0.24659999999999999), mu_l = RealInterval{Float64}(0.0037600000000000003, 0.00564), mu_a = RealInterval{Float64}(0.0061032000000000005, 0.0091548))","[[0.05746696206538869, -0.13888060737008548, 0.1348198548041207], [9.35592294135818, 0.01614000962279746, 0.015403125553082795], [10.904002368983617, 0.018769495244870586, 0.010149240764497072], [6.877633096857202, 0.013675991297649893, 0.010159328371631355]]","[[0.005504616592435812, 0.009847672107631749], [0.03208545904392562, 0.12123902153465416]]",[[0.22682175942636598]],"[0.8501884875949144, 1.105097261639328, 0.9528521225313553]"
52,0.2,2,2,1,2,"(b = 6.50781344061344, c_ea = 0.009948204241813531, c_el = 0.012565605302345243, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.512189177613804, c_el = 0.012534250655392282, c_ea = 0.009982758939765498, c_pa = 0.23412955341247796, mu_l = 0.003840471195568449, mu_a = 0.00885419857988545)","(b = RealInterval{Float64}(5.2784, 7.917599999999999), c_el = RealInterval{Float64}(0.009672, 0.014508), c_ea = RealInterval{Float64}(0.00924, 0.013859999999999999), c_pa = RealInterval{Float64}(0.1644, 0.24659999999999999), mu_l = RealInterval{Float64}(0.0037600000000000003, 0.00564), mu_a = RealInterval{Float64}(0.0061032000000000005, 0.0091548))","[[0.032415924897390154, 0.26197218933903454, -0.15479306965527706], [6.50781344061344, 0.009948204241813531, 0.012565605302345243]]","[[0.03351127997721507, 0.13181886465765597], [0.0037097355631781023, 0.00961939353191132]]",[[0.23412955341247801]],"[0.8501884875949144, 1.105097261639328, 0.9528521225313553]"
53,0.2,2,2,1,2,"(b = 0.0, c_ea = 0.0, c_el = 0.0, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 7.776372480996289, c_el = 0.013970203325644935, c_ea = 0.011581158435060804, c_pa = 0.19561065217329368, mu_l = 0.004703021739450041, mu_a = 0.008316502685197975)","(b = RealInterval{Float64}(5.2784, 7.917599999999999), c_el = RealInterval{Float64}(0.009672, 0.014508), c_ea = RealInterval{Float64}(0.00924, 0.013859999999999999), c_pa = RealInterval{Float64}(0.1644, 0.24659999999999999), mu_l = RealInterval{Float64}(0.0037600000000000003, 0.00564), mu_a = RealInterval{Float64}(0.0061032000000000005, 0.0091548))","[[6.870062508985327, 0.01029359278461921, 0.01481865003558526], [0.21261184783999976, -0.06882634854666997, 0.06944252705896975]]","[[0.03359745751580559, 0.13507848376418596], [0.004600903152354466, 0.009251798945024271]]",[[0.1956106521732936]],"[0.8501884875949144, 1.105097261639328, 0.9528521225313553]"
54,0.2,2,2,1,2,"(b = 6.156127981395828, c_ea = 0.011336855212253812, c_el = 0.014071152571413875, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.671921028936282, c_el = 0.013463211253420567, c_ea = 0.012167133634047934, c_pa = 0.2449635929405946, mu_l = 0.00502441009694236, mu_a = 0.008039499676701822)","(b = RealInterval{Float64}(5.2784, 7.917599999999999), c_el = RealInterval{Float64}(0.009672, 0.014508), c_ea = RealInterval{Float64}(0.00924, 0.013859999999999999), c_pa = RealInterval{Float64}(0.1644, 0.24659999999999999), mu_l = RealInterval{Float64}(0.0037600000000000003, 0.00564), mu_a = RealInterval{Float64}(0.0061032000000000005, 0.0091548))","[[0.45621829038905937, -0.03296652347140254, 0.0469958408730848], [6.156127981395828, 0.011336855212253812, 0.014071152571413875]]","[[0.00496707691969016, 0.008988946201066949], [0.03211956604343641, 0.1194341828529254]]",[[0.2449635929405948]],"[0.8501884875949144, 1.105097261639328, 0.9528521225313553]"
