sim_num,interval_range,taylor_n,L_num_real_solutions,A_num_real_solutions,sampled_parameters,pred_parameters,L_all_real_solutions,A_all_real_solutions,offmul
10,0.25,3,1,1,"(b = 6.2532646551530995, c_el = 0.014240452192638479, c_ea = 0.009204435628566376, c_pa = 0.1553385787769274, mu_l = 0.005074489800540564, mu_a = 0.007427934163101227)","(b = 6.2464919381276856, c_ea = 0.009191769905277675, c_el = 0.014241181486671072, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.2464919381276856, 0.009191769905277675, 0.014241181486671072]]","[[0.029142606560889517, -0.07756313225277488]]","[1.0660594174462035, 1.036044389081323, 0.9828594156781362]"
10,0.25,4,2,0,"(b = 6.2532646551530995, c_el = 0.014240452192638479, c_ea = 0.009204435628566376, c_pa = 0.1553385787769274, mu_l = 0.005074489800540564, mu_a = 0.007427934163101227)","(b = 6.2529294940379305, c_ea = 0.00920380549033609, c_el = 0.014240489882455227, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.2529294940379305, 0.00920380549033609, 0.014240489882455227], [20.694427152226428, 0.02137014226264001, 0.014684490314730108]]",Vector{Float64}[],"[1.0660594174462035, 1.036044389081323, 0.9828594156781362]"
10,0.25,5,1,1,"(b = 6.2532646551530995, c_el = 0.014240452192638479, c_ea = 0.009204435628566376, c_pa = 0.1553385787769274, mu_l = 0.005074489800540564, mu_a = 0.007427934163101227)","(b = 6.253249824887243, c_ea = 0.00920440779053435, c_el = 0.014240453841101315, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.253249824887243, 0.00920440779053435, 0.014240453841101315]]","[[0.03589190547269301, -0.08215246357939418]]","[1.0660594174462035, 1.036044389081323, 0.9828594156781362]"
1,0.5,1,1,1,"(b = 9.497823936038762, c_el = 0.010072442383971631, c_ea = 0.005833679352704983, c_pa = 0.12632241039142195, mu_l = 0.00556341381502619, mu_a = 0.004196494230197243)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[37.164135920339326, 0.01758347085431367, 0.009368069246223203]]","[[0.026748075545443964, -0.0755458414763205]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
1,0.5,2,2,0,"(b = 9.497823936038762, c_el = 0.010072442383971631, c_ea = 0.005833679352704983, c_pa = 0.12632241039142195, mu_l = 0.00556341381502619, mu_a = 0.004196494230197243)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[19.246619087171233, 0.032131299779352654, 0.007637948511327629], [12.18538902204158, 0.008261951507867609, 0.01009679765245781]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
1,0.5,3,3,1,"(b = 9.497823936038762, c_el = 0.010072442383971631, c_ea = 0.005833679352704983, c_pa = 0.12632241039142195, mu_l = 0.00556341381502619, mu_a = 0.004196494230197243)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[46.00423132341425, 0.021246130734258763, 0.009659657816292515], [33.66535211543604, 0.018499226527972017, 0.00988834034845519], [10.213068912982886, 0.006535869587744512, 0.010080978887176125]]","[[0.03501574170293742, -0.16151313110006138]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
1,0.5,4,2,0,"(b = 9.497823936038762, c_el = 0.010072442383971631, c_ea = 0.005833679352704983, c_pa = 0.12632241039142195, mu_l = 0.00556341381502619, mu_a = 0.004196494230197243)","(b = 9.623039695489487, c_ea = 0.0059606862432140745, c_el = 0.010073889265421786, mu_l = missing, c_pa = missing, mu_a = missing)","[[37.20259238639846, 0.03578168197439664, 0.007939519744822314], [9.623039695489487, 0.0059606862432140745, 0.010073889265421786]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
1,0.5,5,1,1,"(b = 9.497823936038762, c_el = 0.010072442383971631, c_ea = 0.005833679352704983, c_pa = 0.12632241039142195, mu_l = 0.00556341381502619, mu_a = 0.004196494230197243)","(b = 9.512873771550446, c_ea = 0.005849086730602983, c_el = 0.010072602776017098, mu_l = missing, c_pa = missing, mu_a = missing)","[[9.512873771550446, 0.005849086730602983, 0.010072602776017098]]","[[0.04470700516782999, -0.30419739907040455]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
2,0.5,1,1,1,"(b = 4.949519543266741, c_el = 0.01021425635914711, c_ea = 0.014147720440549391, c_pa = 0.15561793418126635, mu_l = 0.00500434578261082, mu_a = 0.005546110581690616)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[-0.840382984962774, 0.07258708083797127, 0.0031522484736104545]]","[[0.026795796566048746, -0.07442750180325095]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
2,0.5,2,0,0,"(b = 4.949519543266741, c_el = 0.01021425635914711, c_ea = 0.014147720440549391, c_pa = 0.15561793418126635, mu_l = 0.00500434578261082, mu_a = 0.005546110581690616)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)",Vector{Float64}[],Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
2,0.5,3,1,1,"(b = 4.949519543266741, c_el = 0.01021425635914711, c_ea = 0.014147720440549391, c_pa = 0.15561793418126635, mu_l = 0.00500434578261082, mu_a = 0.005546110581690616)","(b = 4.581241848568635, c_ea = 0.013370693381379162, c_el = 0.010208541830028239, mu_l = missing, c_pa = missing, mu_a = missing)","[[4.581241848568635, 0.013370693381379162, 0.010208541830028239]]","[[0.035094349220326004, -0.16152155707622168]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
2,0.5,4,2,0,"(b = 4.949519543266741, c_el = 0.01021425635914711, c_ea = 0.014147720440549391, c_pa = 0.15561793418126635, mu_l = 0.00500434578261082, mu_a = 0.005546110581690616)","(b = 5.05194685083733, c_ea = 0.014353580892934576, c_el = 0.010215796330637324, mu_l = missing, c_pa = missing, mu_a = missing)","[[8.019281367991715, 0.01901326514910402, 0.010275140547029495], [5.05194685083733, 0.014353580892934576, 0.010215796330637324]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
2,0.5,5,1,1,"(b = 4.949519543266741, c_el = 0.01021425635914711, c_ea = 0.014147720440549391, c_pa = 0.15561793418126635, mu_l = 0.00500434578261082, mu_a = 0.005546110581690616)","(b = 4.942077662252742, c_ea = 0.014132598410819134, c_el = 0.010214157810283155, mu_l = missing, c_pa = missing, mu_a = missing)","[[4.942077662252742, 0.014132598410819134, 0.010214157810283155]]","[[0.044858260485356516, -0.30877825249680824]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
3,0.5,1,1,1,"(b = 6.256185995957818, c_el = 0.00966090671386213, c_ea = 0.00925447978891304, c_pa = 0.2987447455998521, mu_l = 0.004765522549027077, mu_a = 0.007954148368098421)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[4.863053737237229, 0.004732798404204032, 0.010131114382742704]]","[[0.026867528722410935, -0.07236733259300966]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
3,0.5,2,2,0,"(b = 6.256185995957818, c_el = 0.00966090671386213, c_ea = 0.00925447978891304, c_pa = 0.2987447455998521, mu_l = 0.004765522549027077, mu_a = 0.007954148368098421)","(b = 6.065014922229043, c_ea = 0.008886364308128343, c_el = 0.00968156499657235, mu_l = missing, c_pa = missing, mu_a = missing)","[[13.417318983265822, 0.017142024727842025, 0.010034219490325865], [6.065014922229043, 0.008886364308128343, 0.00968156499657235]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
3,0.5,3,1,1,"(b = 6.256185995957818, c_el = 0.00966090671386213, c_ea = 0.00925447978891304, c_pa = 0.2987447455998521, mu_l = 0.004765522549027077, mu_a = 0.007954148368098421)","(b = 6.2388936224639275, c_ea = 0.009223428791741766, c_el = 0.009662210359478294, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.2388936224639275, 0.009223428791741766, 0.009662210359478294]]","[[0.035215836314244305, -0.16122720994477266]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
3,0.5,4,2,0,"(b = 6.256185995957818, c_el = 0.00966090671386213, c_ea = 0.00925447978891304, c_pa = 0.2987447455998521, mu_l = 0.004765522549027077, mu_a = 0.007954148368098421)","(b = 6.254990498916067, c_ea = 0.009252370756940558, c_el = 0.009660984813888633, mu_l = missing, c_pa = missing, mu_a = missing)","[[25.683306311381227, 0.023825831117548445, 0.010157039908639247], [6.254990498916067, 0.009252370756940558, 0.009660984813888633]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
3,0.5,5,1,1,"(b = 6.256185995957818, c_el = 0.00966090671386213, c_ea = 0.00925447978891304, c_pa = 0.2987447455998521, mu_l = 0.004765522549027077, mu_a = 0.007954148368098421)","(b = 6.256120678229747, c_ea = 0.009254365430196334, c_el = 0.009660910672163821, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.256120678229747, 0.009254365430196334, 0.009660910672163821]]","[[0.04509903966729679, -0.3160007363011267]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
4,0.5,1,1,1,"(b = 5.379501305090398, c_el = 0.007391430051201525, c_ea = 0.010786705654361399, c_pa = 0.16170281324844427, mu_l = 0.0057823657292886115, mu_a = 0.004083852748463053)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[-12.219530349239363, 0.027700789247108403, 0.0098298468804453]]","[[0.026741239049909167, -0.07562516970392706]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
4,0.5,2,2,0,"(b = 5.379501305090398, c_el = 0.007391430051201525, c_ea = 0.010786705654361399, c_pa = 0.16170281324844427, mu_l = 0.0057823657292886115, mu_a = 0.004083852748463053)","(b = 9.38096809001906, c_ea = 0.016483266384301917, c_el = 0.007337156371362649, mu_l = missing, c_pa = missing, mu_a = missing)","[[0.9805967398601407, -0.012172928508562593, 0.005830479782427958], [9.38096809001906, 0.016483266384301917, 0.007337156371362649]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
4,0.5,3,1,1,"(b = 5.379501305090398, c_el = 0.007391430051201525, c_ea = 0.010786705654361399, c_pa = 0.16170281324844427, mu_l = 0.0057823657292886115, mu_a = 0.004083852748463053)","(b = 4.54995206876259, c_ea = 0.009105114107183671, c_el = 0.0073690844525351965, mu_l = missing, c_pa = missing, mu_a = missing)","[[4.54995206876259, 0.009105114107183671, 0.0073690844525351965]]","[[0.03500511904822607, -0.16144264213045487]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
4,0.5,4,2,0,"(b = 5.379501305090398, c_el = 0.007391430051201525, c_ea = 0.010786705654361399, c_pa = 0.16170281324844427, mu_l = 0.0057823657292886115, mu_a = 0.004083852748463053)","(b = 5.3020635201681365, c_ea = 0.010641363362010282, c_el = 0.007390432641669896, mu_l = missing, c_pa = missing, mu_a = missing)","[[19.994547906343, 0.024446498130771457, 0.007196695507714911], [5.3020635201681365, 0.010641363362010282, 0.007390432641669896]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
4,0.5,5,1,1,"(b = 5.379501305090398, c_el = 0.007391430051201525, c_ea = 0.010786705654361399, c_pa = 0.16170281324844427, mu_l = 0.0057823657292886115, mu_a = 0.004083852748463053)","(b = 5.371975194797643, c_ea = 0.010772669187045456, c_el = 0.007391353497824788, mu_l = missing, c_pa = missing, mu_a = missing)","[[5.371975194797643, 0.010772669187045456, 0.007391353497824788]]","[[0.04468764780349792, -0.3035574594820889]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
5,0.5,1,1,1,"(b = 6.387360502285723, c_el = 0.008359437077906963, c_ea = 0.01472488642277225, c_pa = 0.24698698434868038, mu_l = 0.0067136447901838675, mu_a = 0.00596433573317714)","(b = 5.176377768039524, c_ea = 0.012614690985397985, c_el = 0.008333895728276641, mu_l = missing, c_pa = missing, mu_a = missing)","[[5.176377768039524, 0.012614690985397985, 0.008333895728276641]]","[[0.026777260749287695, -0.07391937533447153]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
5,0.5,2,2,0,"(b = 6.387360502285723, c_el = 0.008359437077906963, c_ea = 0.01472488642277225, c_pa = 0.24698698434868038, mu_l = 0.0067136447901838675, mu_a = 0.00596433573317714)","(b = 6.946466750193596, c_ea = 0.01563238825724569, c_el = 0.008336353850840993, mu_l = missing, c_pa = missing, mu_a = missing)","[[8.192722421786625, 0.0175304101210743, 0.008270323627241418], [6.946466750193596, 0.01563238825724569, 0.008336353850840993]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
5,0.5,3,1,1,"(b = 6.387360502285723, c_el = 0.008359437077906963, c_ea = 0.01472488642277225, c_pa = 0.24698698434868038, mu_l = 0.0067136447901838675, mu_a = 0.00596433573317714)","(b = 6.3675291441470225, c_ea = 0.014692528161835867, c_el = 0.008359930426552213, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.3675291441470225, 0.014692528161835867, 0.008359930426552213]]","[[0.03507115696612655, -0.16070183119323744]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
5,0.5,4,2,0,"(b = 6.387360502285723, c_el = 0.008359437077906963, c_ea = 0.01472488642277225, c_pa = 0.24698698434868038, mu_l = 0.0067136447901838675, mu_a = 0.00596433573317714)","(b = 6.388474629432292, c_ea = 0.01472669084870779, c_el = 0.008359413202340613, mu_l = missing, c_pa = missing, mu_a = missing)","[[17.863375929842018, 0.02627397629385348, 0.008043816207383037], [6.388474629432292, 0.01472669084870779, 0.008359413202340613]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
5,0.5,5,1,1,"(b = 6.387360502285723, c_el = 0.008359437077906963, c_ea = 0.01472488642277225, c_pa = 0.24698698434868038, mu_l = 0.0067136447901838675, mu_a = 0.00596433573317714)","(b = 6.387314876185142, c_ea = 0.014724812775822048, c_el = 0.008359437960039608, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.387314876185142, 0.014724812775822048, 0.008359437960039608]]","[[0.04482693010244236, -0.30712407564008215]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
6,0.5,1,1,1,"(b = 5.916318368116744, c_el = 0.010505291780717642, c_ea = 0.011576867425566236, c_pa = 0.1362046065370591, mu_l = 0.004983295186284275, mu_a = 0.010362245740347283)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[0.8156411508854414, -0.057244134416762536, 0.01958760919453994]]","[[0.026931413742587666, -0.07026911726446301]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
6,0.5,2,0,0,"(b = 5.916318368116744, c_el = 0.010505291780717642, c_ea = 0.011576867425566236, c_pa = 0.1362046065370591, mu_l = 0.004983295186284275, mu_a = 0.010362245740347283)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)",Vector{Float64}[],Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
6,0.5,3,1,1,"(b = 5.916318368116744, c_el = 0.010505291780717642, c_ea = 0.011576867425566236, c_pa = 0.1362046065370591, mu_l = 0.004983295186284275, mu_a = 0.010362245740347283)","(b = 5.833426895581074, c_ea = 0.011434436056590789, c_el = 0.010504112234769157, mu_l = missing, c_pa = missing, mu_a = missing)","[[5.833426895581074, 0.011434436056590789, 0.010504112234769157]]","[[0.03532649639685553, -0.16076001360581185]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
6,0.5,4,2,0,"(b = 5.916318368116744, c_el = 0.010505291780717642, c_ea = 0.011576867425566236, c_pa = 0.1362046065370591, mu_l = 0.004983295186284275, mu_a = 0.010362245740347283)","(b = 5.923213968747746, c_ea = 0.0115886252346639, c_el = 0.010505383730873162, mu_l = missing, c_pa = missing, mu_a = missing)","[[13.556386273304923, 0.019973140352848497, 0.010684103202025164], [5.923213968747746, 0.0115886252346639, 0.010505383730873162]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
6,0.5,5,1,1,"(b = 5.916318368116744, c_el = 0.010505291780717642, c_ea = 0.011576867425566236, c_pa = 0.1362046065370591, mu_l = 0.004983295186284275, mu_a = 0.010362245740347283)","(b = 5.915949363403329, c_ea = 0.011576237799278079, c_el = 0.010505287131123281, mu_l = missing, c_pa = missing, mu_a = missing)","[[5.915949363403329, 0.011576237799278079, 0.010505287131123281]]","[[0.04532384150619006, -0.3227979544055745]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
7,0.5,1,1,1,"(b = 5.839196875700401, c_el = 0.01602507530280589, c_ea = 0.008952675172082846, c_pa = 0.23994048708634874, mu_l = 0.0032463209306222616, mu_a = 0.004603098027919685)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[-43.317538233819974, 0.024410815634291205, 0.008243246902104047]]","[[0.026800539562305877, -0.07539350760521699]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
7,0.5,2,2,0,"(b = 5.839196875700401, c_el = 0.01602507530280589, c_ea = 0.008952675172082846, c_pa = 0.23994048708634874, mu_l = 0.0032463209306222616, mu_a = 0.004603098027919685)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[1.8464602181697998, 0.05077352174754087, 0.0004281280331332255], [2.1258981137830895, -0.0035699656432952105, 0.017071774372645152]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
7,0.5,3,3,1,"(b = 5.839196875700401, c_el = 0.01602507530280589, c_ea = 0.008952675172082846, c_pa = 0.23994048708634874, mu_l = 0.0032463209306222616, mu_a = 0.004603098027919685)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[2.377894349557426, -0.00047897071803758664, 0.016184259960200204], [-29.10959690572676, 0.03202336416319108, 0.0077279624921063805], [1.4919627027737035, -0.005930935188650765, 0.01652051277871202]]","[[0.035093765170041126, -0.16245444220737995]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
7,0.5,4,0,0,"(b = 5.839196875700401, c_el = 0.01602507530280589, c_ea = 0.008952675172082846, c_pa = 0.23994048708634874, mu_l = 0.0032463209306222616, mu_a = 0.004603098027919685)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)",Vector{Float64}[],Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
7,0.5,5,1,1,"(b = 5.839196875700401, c_el = 0.01602507530280589, c_ea = 0.008952675172082846, c_pa = 0.23994048708634874, mu_l = 0.0032463209306222616, mu_a = 0.004603098027919685)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[4.057624833714219, 0.005295673581260639, 0.016011768156686552]]","[[0.04484179746794936, -0.30907132143055893]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
8,0.5,1,1,1,"(b = 4.090691664973816, c_el = 0.010754454326805302, c_ea = 0.010221037239759844, c_pa = 0.21332650933451625, mu_l = 0.0024922318435666177, mu_a = 0.006532930641250595)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[-5.931253426286958, 0.031193222130096426, 0.007569365963613629]]","[[0.026867917449582605, -0.07379043554559574]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
8,0.5,2,2,0,"(b = 4.090691664973816, c_el = 0.010754454326805302, c_ea = 0.010221037239759844, c_pa = 0.21332650933451625, mu_l = 0.0024922318435666177, mu_a = 0.006532930641250595)","(b = 3.8725079893981595, c_ea = 0.009642651641841119, c_el = 0.01077161784603777, mu_l = missing, c_pa = missing, mu_a = missing)","[[1.1342611651760692, -0.005945958514194585, 0.011614831979490689], [3.8725079893981595, 0.009642651641841119, 0.01077161784603777]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
8,0.5,3,1,1,"(b = 4.090691664973816, c_el = 0.010754454326805302, c_ea = 0.010221037239759844, c_pa = 0.21332650933451625, mu_l = 0.0024922318435666177, mu_a = 0.006532930641250595)","(b = 4.046187619828281, c_ea = 0.010110155547802655, c_el = 0.010754490688974333, mu_l = missing, c_pa = missing, mu_a = missing)","[[4.046187619828281, 0.010110155547802655, 0.010754490688974333]]","[[0.0352052408755607, -0.16246337396056632]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
8,0.5,4,2,0,"(b = 4.090691664973816, c_el = 0.010754454326805302, c_ea = 0.010221037239759844, c_pa = 0.21332650933451625, mu_l = 0.0024922318435666177, mu_a = 0.006532930641250595)","(b = 4.091949530479483, c_ea = 0.010224102765319994, c_el = 0.010754491295158828, mu_l = missing, c_pa = missing, mu_a = missing)","[[4.091949530479483, 0.010224102765319994, 0.010754491295158828], [9.011420182256865, 0.01817165627800239, 0.010839319981707703]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
8,0.5,5,1,1,"(b = 4.090691664973816, c_el = 0.010754454326805302, c_ea = 0.010221037239759844, c_pa = 0.21332650933451625, mu_l = 0.0024922318435666177, mu_a = 0.006532930641250595)","(b = 4.09060384666183, c_ea = 0.010220820320185115, c_el = 0.01075445388344541, mu_l = missing, c_pa = missing, mu_a = missing)","[[4.09060384666183, 0.010220820320185115, 0.01075445388344541]]","[[0.04505768663088035, -0.31575121386459665]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
9,0.5,1,1,1,"(b = 6.440956083313025, c_el = 0.015057347642199171, c_ea = 0.010295276996305076, c_pa = 0.1179308316685746, mu_l = 0.0036216770904722285, mu_a = 0.005507557838537906)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[-39.77580776703267, 0.024519105278342248, 0.008243443674080319]]","[[0.026818778737867106, -0.07457787961018746]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
9,0.5,2,2,0,"(b = 6.440956083313025, c_el = 0.015057347642199171, c_ea = 0.010295276996305076, c_pa = 0.1179308316685746, mu_l = 0.0036216770904722285, mu_a = 0.005507557838537906)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[2.5187554543146624, -0.000648192785894246, 0.01573622228367032], [2.055174949514963, 0.04861179900267849, 0.0017019478906090885]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
9,0.5,3,3,1,"(b = 6.440956083313025, c_el = 0.015057347642199171, c_ea = 0.010295276996305076, c_pa = 0.1179308316685746, mu_l = 0.0036216770904722285, mu_a = 0.005507557838537906)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[-24.351375325070304, 0.03249184939544628, 0.007663364326878832], [3.0657119725828217, 0.002669062363073239, 0.01510926293717483], [1.480025073650324, -0.00560873928441882, 0.015536414078041641]]","[[0.03512690034292658, -0.16212507753942096]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
9,0.5,4,0,0,"(b = 6.440956083313025, c_el = 0.015057347642199171, c_ea = 0.010295276996305076, c_pa = 0.1179308316685746, mu_l = 0.0036216770904722285, mu_a = 0.005507557838537906)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)",Vector{Float64}[],Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
9,0.5,5,1,1,"(b = 6.440956083313025, c_el = 0.015057347642199171, c_ea = 0.010295276996305076, c_pa = 0.1179308316685746, mu_l = 0.0036216770904722285, mu_a = 0.005507557838537906)","(b = 4.867984986380477, c_ea = 0.007480315322156129, c_el = 0.015046047364947843, mu_l = missing, c_pa = missing, mu_a = missing)","[[4.867984986380477, 0.007480315322156129, 0.015046047364947843]]","[[0.044911508508986626, -0.31092677614483216]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
10,0.5,1,1,1,"(b = 5.937012574320835, c_el = 0.01715525968811704, c_ea = 0.015529689800250976, c_pa = 0.2745279254884272, mu_l = 0.0032754830695049092, mu_a = 0.010007434747271553)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[-55.35128901966114, 0.02336837501673691, 0.008571448922346915]]","[[0.02695182771794835, -0.07072286853588397]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
10,0.5,2,2,0,"(b = 5.937012574320835, c_el = 0.01715525968811704, c_ea = 0.015529689800250976, c_pa = 0.2745279254884272, mu_l = 0.0032754830695049092, mu_a = 0.010007434747271553)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[1.089422880117463, -0.00421169836587275, 0.019045706921628634], [1.0624272397575159, 0.04974170559933892, -0.0011924222891378652]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
10,0.5,3,1,1,"(b = 5.937012574320835, c_el = 0.01715525968811704, c_ea = 0.015529689800250976, c_pa = 0.2745279254884272, mu_l = 0.0032754830695049092, mu_a = 0.010007434747271553)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[-45.423377138086536, 0.029939569005247288, 0.008358639137470552]]","[[0.0353530337815601, -0.16158240308464514]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
10,0.5,4,2,0,"(b = 5.937012574320835, c_el = 0.01715525968811704, c_ea = 0.015529689800250976, c_pa = 0.2745279254884272, mu_l = 0.0032754830695049092, mu_a = 0.010007434747271553)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[0.4329838913335274, -0.011948085297102952, 0.01767330185421487], [0.8307434759323868, 0.053346988501480515, 0.0026133664759894933]]",Vector{Float64}[],"[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
10,0.5,5,5,1,"(b = 5.937012574320835, c_el = 0.01715525968811704, c_ea = 0.015529689800250976, c_pa = 0.2745279254884272, mu_l = 0.0032754830695049092, mu_a = 0.010007434747271553)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[0.06024585845383851, -0.03485465986542646, 0.018836738627752165], [-0.4339709102314024, 0.0611849390305689, 0.002810678817024089], [-47.024314502530906, 0.03648576776427345, 0.00811946583585137], [2.2358423429728767, 0.005665828881427245, 0.01707496269394206], [-0.008926215168110827, 0.11160652541489295, -0.0039546219473316924]]","[[0.04536193952983146, -0.32473347996118435]]","[0.7352978720152844, 1.0798753676189476, 1.2990306782202128]"
