sim_num,interval_range,taylor_n,L_num_real_solutions,P_num_real_solutions,A_num_real_solutions,pred_parameters,sampled_parameters,param_intevals,L_all_real_solutions,P_all_real_solutions,A_all_real_solutions,offmul
11,0.05,2,4,1,2,"(b = 6.324926581745932, c_ea = 0.011267293308617797, c_el = 0.012221272038917848, mu_l = 0.2128938976981172, c_pa = 0.0, mu_a = 0.0)","(b = 6.324941341112127, c_el = 0.012221251400855757, c_ea = 0.011267318139583572, c_pa = 0.004895768706649154, mu_l = 0.21289389769811742, mu_a = 0.007602728387256676)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.1841183488867452, 0.10799669819403832, -0.054995855835240214], [6.324926581745932, 0.011267293308617797, 0.012221272038917848], [9.037997233435348, 0.014385333697915004, 0.017240995711923345], [11.018953477512053, 0.01725169960761009, 0.012358675019820554]]","[[0.00479704674964645, 0.008600389235769954], [0.03370204677420823, 0.13593462562999573]]",[[0.2128938976981172]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
12,0.05,2,4,1,2,"(b = 6.403363492035172, c_ea = 0.011906178054204491, c_el = 0.01158297689389404, mu_l = 0.1997181942071448, c_pa = 0.0, mu_a = 0.0)","(b = 6.403362961869917, c_el = 0.011583276347335641, c_ea = 0.011905861239264941, c_pa = 0.004584701012950085, mu_l = 0.1997181942071449, mu_a = 0.007572509880138946)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.014115089147087015, 0.33323571837487254, -0.23707834908546696], [6.403363492035172, 0.011906178054204491, 0.01158297689389404], [8.517496740004608, 0.0141002727486456, 0.01807392292610709], [10.824720569891637, 0.017769130304507073, 0.011448557587488892]]","[[0.03432024558301805, 0.1421176237096886], [0.004455215287380033, 0.008538111837988449]]",[[0.1997181942071448]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
13,0.05,2,4,1,2,"(b = 6.708065346687281, c_ea = 0.011202499273684196, c_el = 0.011950580395931212, mu_l = 0.2034968846605828, c_pa = 0.0, mu_a = 0.0)","(b = 6.708121492906714, c_el = 0.011950634462932373, c_ea = 0.011202578778368347, c_pa = 0.004821723009806233, mu_l = 0.2034968846605827, mu_a = 0.00772489361530018)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.4900528822896769, 0.07625902574669152, -0.030908527312551795], [12.133522704956881, 0.01771577877452038, 0.011945593876729887], [6.708065346687281, 0.011202499273684196, 0.011950580395931212], [9.503869692601324, 0.014070249204809442, 0.017730856005691596]]","[[0.004711405046813223, 0.008723990489468468], [0.034009240358256296, 0.13937428608374774]]",[[0.2034968846605828]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
14,0.05,2,4,1,2,"(b = 6.686987684471466, c_ea = 0.011806855755568191, c_el = 0.011898294860956182, mu_l = 0.2056534666757176, c_pa = 0.0, mu_a = 0.0)","(b = 6.6867010577024955, c_el = 0.011898370534135687, c_ea = 0.011806237817461204, c_pa = 0.004758822383589407, mu_l = 0.20565346667571763, mu_a = 0.007662353538977274)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[8.799071883172395, 0.013949807581043246, 0.017891941753475662], [11.162001982468794, 0.017431010516023405, 0.011873695982778012], [6.686987684471466, 0.011806855755568191, 0.011898294860956182], [0.11565290813362154, 0.13210613801542506, -0.07497776925868552]]","[[0.03401229625723449, 0.13915244593575743], [0.0046461722632780275, 0.008643624987325712]]",[[0.2056534666757176]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
15,0.05,2,4,1,2,"(b = 6.375000695168176, c_ea = 0.012016772781304417, c_el = 0.01247212321762206, mu_l = 0.19732311893029, c_pa = 0.0, mu_a = 0.0)","(b = 6.36679660221991, c_el = 0.01246855946978094, c_ea = 0.012003753994249803, c_pa = 0.004778488167378644, mu_l = 0.1973231189302899, mu_a = 0.007744944970662848)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[9.642807619958395, 0.016386013532242588, 0.012675229058968538], [0.015351284118799364, -0.2684108465680387, 0.233903615482602], [6.375000695168176, 0.012016772781304417, 0.01247212321762206], [8.12104978329546, 0.014054250696354915, 0.017272943683008628]]","[[0.00466042147755585, 0.008748416816350302], [0.03420403828928502, 0.14153257425400878]]",[[0.19732311893029]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
16,0.05,2,4,1,2,"(b = 6.76276461911307, c_ea = 0.01184469330244445, c_el = 0.01256731089034654, mu_l = 0.2071167820454284, c_pa = 0.0, mu_a = 0.0)","(b = 6.757060402713217, c_el = 0.01256314229359792, c_ea = 0.011836471939290615, c_pa = 0.004715335225051863, mu_l = 0.2071167820454285, mu_a = 0.007708601429914402)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.02222872070443299, 0.27159511194029834, -0.17838845527071506], [8.585019399544953, 0.013813621984108843, 0.01735532608696727], [10.339416777578128, 0.016296027632745513, 0.012826872435281989], [6.76276461911307, 0.01184469330244445, 0.01256731089034654]]","[[0.034018751141204825, 0.1391382971990103], [0.004600983197383104, 0.008678292611575022]]",[[0.2071167820454284]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
17,0.05,2,4,1,2,"(b = 6.361010710399025, c_ea = 0.011075721488717983, c_el = 0.012428696632470669, mu_l = 0.21243932077653638, c_pa = 0.0, mu_a = 0.0)","(b = 6.3611601414070025, c_el = 0.012428506152755028, c_ea = 0.011075983881417959, c_pa = 0.00465005828275597, mu_l = 0.21243932077653643, mu_a = 0.007838952025732706)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[9.196838552569055, 0.01435016569881436, 0.017048958629070476], [11.04822980148167, 0.016927017604021356, 0.012698057901389375], [0.14818291653026092, 0.11891482166110402, -0.0626421064735604], [6.361010710399025, 0.011075721488717983, 0.012428696632470669]]","[[0.004535598184431397, 0.008785214549046553], [0.03395334933843105, 0.13830535038180833]]",[[0.21243932077653638]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
18,0.05,2,4,1,2,"(b = 6.639222320513434, c_ea = 0.011921894712206898, c_el = 0.011602687626414743, mu_l = 0.19612212405494361, c_pa = 0.0, mu_a = 0.0)","(b = 6.639246179219407, c_el = 0.011602950446290693, c_ea = 0.01192159026845222, c_pa = 0.004671326286850062, mu_l = 0.19612212405494356, mu_a = 0.007914525562439201)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.639222320513434, 0.011921894712206898, 0.011602687626414743], [0.06124516680907514, 0.17374736560968554, -0.1094018610347125], [8.707851857450615, 0.01394019665606714, 0.018169206642046066], [11.202256944260638, 0.017768375076842535, 0.011471605075197825]]","[[0.004544785433747097, 0.008901965968534353], [0.03434189669142765, 0.14298719970615442]]",[[0.19612212405494361]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
19,0.05,2,4,1,2,"(b = 6.454897747519027, c_ea = 0.01128644602485647, c_el = 0.011524380172093996, mu_l = 0.1998626882160408, c_pa = 0.0, mu_a = 0.0)","(b = 6.454435676905561, c_el = 0.011526151871158623, c_ea = 0.011285545881181297, c_pa = 0.004640314452737283, mu_l = 0.19986268821604067, mu_a = 0.007369187104283368)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.28226446799450183, 0.09328631239676698, -0.04546073894082843], [12.003697070700783, 0.018307304924506683, 0.011328900492638039], [6.454897747519027, 0.01128644602485647, 0.011524380172093996], [9.316513073289357, 0.01423700880823729, 0.017996882334235464]]","[[0.034255841177372966, 0.14133274096295062], [0.00451502094001982, 0.008342200678446593]]",[[0.1998626882160408]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
20,0.05,2,4,1,2,"(b = 6.824157900761081, c_ea = 0.011862475131215546, c_el = 0.011826979110125244, mu_l = 0.2009168786963912, c_pa = 0.0, mu_a = 0.0)","(b = 6.823917285755038, c_el = 0.011827083072203367, c_ea = 0.011861863540559266, c_pa = 0.004557252978649451, mu_l = 0.20091687869639135, mu_a = 0.007404181068753115)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.824157900761081, 0.011862475131215546, 0.011826979110125244], [11.341074302890451, 0.01744388362854654, 0.011779621790033022], [8.831758280010183, 0.01378492659803606, 0.018079030354424038], [0.08613075602163692, 0.15116905824080962, -0.09026369332332335]]","[[0.034309499207361524, 0.14173597341329608], [0.0044268983686899495, 0.008363004923579501]]",[[0.2009168786963912]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
21,0.05,2,4,1,2,"(b = 6.597169605051964, c_ea = 0.011672441930259273, c_el = 0.012314932376243998, mu_l = 0.2046134989647048, c_pa = 0.0, mu_a = 0.0)","(b = 6.595932364622, c_el = 0.012314321622757505, c_ea = 0.011670569302264453, c_pa = 0.004526895999044059, mu_l = 0.2046134989647046, mu_a = 0.0075704001479728195)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.019657285456591705, 0.2879323158262649, -0.19332954008087488], [8.695455021387467, 0.013960445085932067, 0.01748758164382683], [10.650982348686895, 0.016768190643084796, 0.01247236241051381], [6.597169605051964, 0.011672441930259273, 0.012314932376243998]]","[[0.034252974445093926, 0.14114172589378554], [0.004397483342542064, 0.008516480660854364]]",[[0.2046134989647048]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
22,0.05,2,4,1,2,"(b = 6.602469602544037, c_ea = 0.011958074673103569, c_el = 0.012157602134158408, mu_l = 0.2152836365478808, c_pa = 0.0, mu_a = 0.0)","(b = 6.599277964577467, c_el = 0.012157327576124158, c_ea = 0.011952873177646177, c_pa = 0.00478041663266308, mu_l = 0.21528363654788088, mu_a = 0.007276513712329887)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[10.48910447845925, 0.01694834524230712, 0.012237505919736444], [6.602469602544037, 0.011958074673103569, 0.012157602134158408], [0.03855243278214946, 0.209324662804439, -0.13399976669073402], [8.497185747135708, 0.013982893177491096, 0.01763141737447841]]","[[0.0046766776758372635, 0.008241780693257357], [0.03373776547471643, 0.13566272826759443]]",[[0.2152836365478808]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
23,0.05,2,4,1,2,"(b = 6.606512064214755, c_ea = 0.01209273363926899, c_el = 0.012443918263663352, mu_l = 0.2096431413683176, c_pa = 0.0, mu_a = 0.0)","(b = 6.595912409924978, c_el = 0.0124403868953729, c_ea = 0.012076362421128995, c_pa = 0.004776658871221615, mu_l = 0.20964314136831763, mu_a = 0.00781846612875212)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.0003466492374584361, 1.9809758212437765, -1.4897401510378914], [8.255207318565656, 0.01390389300128926, 0.017419264776611734], [6.606512064214755, 0.01209273363926899, 0.012443918263663352], [9.926592001737061, 0.01640038936374965, 0.012630038227575796]]","[[0.004668193190095625, 0.008795126289760579], [0.03390292118630689, 0.13809620255355906]]",[[0.2096431413683176]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
24,0.05,2,4,1,2,"(b = 6.442486681864405, c_ea = 0.011018881822323903, c_el = 0.011957742846373912, mu_l = 0.20623813117083759, c_pa = 0.0, mu_a = 0.0)","(b = 6.442905746788132, c_el = 0.011957870734306587, c_ea = 0.01101955453472921, c_pa = 0.0048712758029016805, mu_l = 0.20623813117083767, mu_a = 0.007527315456863048)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[9.506838871228405, 0.014343567158861762, 0.01751735800463013], [0.4658340948005933, 0.07697239439551964, -0.0314879188392132], [11.951822353877363, 0.017820161089137875, 0.01195590900265086], [6.442486681864405, 0.011018881822323903, 0.011957742846373912]]","[[0.0047662315204068184, 0.0085318795717372], [0.03388672764564146, 0.13790989352428668]]",[[0.20623813117083759]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
