sim_num,interval_range,taylor_n,L_num_real_solutions,P_num_real_solutions,A_num_real_solutions,pred_parameters,sampled_parameters,param_intevals,L_all_real_solutions,P_all_real_solutions,A_all_real_solutions,offmul
1,0.05,2,4,1,2,"(b = 6.825489030055631, c_ea = 0.01187028807537716, c_el = 0.01265954646092952, mu_l = 0.2060149962899292, c_pa = 0.0, mu_a = 0.0)","(b = 6.817956511890875, c_el = 0.012653118885765646, c_ea = 0.011859647665076955, c_pa = 0.004769150007767573, mu_l = 0.20601499628992936, mu_a = 0.007597010965489815)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[10.269813727280582, 0.01613013308174181, 0.012958039578593109], [0.024346293814911293, 0.26080953517775923, -0.16936488738780905], [8.57957392255451, 0.01375750213738111, 0.017306441753911425], [6.825489030055631, 0.01187028807537716, 0.01265954646092952]]","[[0.0046574807784424315, 0.00857952206319717], [0.03399096487241568, 0.13887146989796884]]",[[0.2060149962899292]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
2,0.05,2,4,1,2,"(b = 6.604076030512947, c_ea = 0.011388936701700715, c_el = 0.012349563155855755, mu_l = 0.1961172783188088, c_pa = 0.0, mu_a = 0.0)","(b = 6.604067712998602, c_el = 0.012349253395223856, c_ea = 0.011388951888487077, c_pa = 0.00473495061045027, mu_l = 0.19611727831880865, mu_a = 0.00755398185385524)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[9.030018619122473, 0.014047128370517607, 0.017375843253720658], [0.1061664877122415, 0.137474258425373, -0.07717156394895475], [6.604076030512947, 0.011388936701700715, 0.012349563155855755], [11.066169350150856, 0.01687881306137536, 0.012542977181484952]]","[[0.004613016680631279, 0.008551749097038173], [0.034267240958470106, 0.14194746440432554]]",[[0.1961172783188088]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
3,0.05,2,4,1,2,"(b = 6.896522929022346, c_ea = 0.011217430098265452, c_el = 0.011501008972465674, mu_l = 0.2121199973659304, c_pa = 0.0, mu_a = 0.0)","(b = 6.8964032953754995, c_el = 0.011503296000671046, c_ea = 0.011216986278935118, c_pa = 0.004680381052586017, mu_l = 0.21211999736593035, mu_a = 0.007341990506885518)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.8899686191124901, 0.06270440071273481, -0.02100450143223859], [9.840159071875155, 0.013946973345464455, 0.018212242984993306], [6.896522929022346, 0.011217430098265452, 0.011501008972465674], [13.062160763282856, 0.018516304632174834, 0.011274362498227514]]","[[0.004567868994389213, 0.008293789913550642], [0.03391266504922131, 0.1374324131029504]]",[[0.2121199973659304]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
4,0.05,2,4,1,2,"(b = 6.501015723432556, c_ea = 0.011058778715328335, c_el = 0.011507231599101747, mu_l = 0.1953755721854264, c_pa = 0.0, mu_a = 0.0)","(b = 6.501941623711588, c_el = 0.01151017415924401, c_ea = 0.011059880542911961, c_pa = 0.004795272689166758, mu_l = 0.1953755721854266, mu_a = 0.007804464785632846)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.5578243271411149, 0.07294219326292431, -0.02918939603188106], [6.501015723432556, 0.011058778715328335, 0.011507231599101747], [12.519400664191439, 0.01853232371696377, 0.011280617946689938], [9.65882732108968, 0.01427613719606016, 0.017972173459335102]]","[[0.03423907846427257, 0.14205474591945183], [0.0046767191678620135, 0.008815638471636836]]",[[0.1953755721854264]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
5,0.05,2,4,1,2,"(b = 6.512702304657861, c_ea = 0.011823163136510908, c_el = 0.011762112622732976, mu_l = 0.1964179615291404, c_pa = 0.0, mu_a = 0.0)","(b = 6.512675638369691, c_el = 0.011762208635057688, c_ea = 0.011822919334393778, c_pa = 0.004906992592048301, mu_l = 0.19641796152914065, mu_a = 0.007503554882230011)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.512702304657861, 0.011823163136510908, 0.011762112622732976], [0.08311419315135536, 0.15066832492036122, -0.09029420149470141], [11.006151926768286, 0.017642513484219306, 0.01168232930387674], [8.688974775252337, 0.014093772737393519, 0.017912558987070053]]","[[0.0340957726202512, 0.14042204222066137], [0.004796698437511318, 0.008536516090323985]]",[[0.1964179615291404]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
6,0.05,2,4,1,2,"(b = 6.723703815387941, c_ea = 0.011045357647315308, c_el = 0.01151709306832291, mu_l = 0.204020667705112, c_pa = 0.0, mu_a = 0.0)","(b = 6.724900710451694, c_el = 0.011519984414794853, c_ea = 0.011046809309578597, c_pa = 0.004765002967234871, mu_l = 0.20402066770511207, mu_a = 0.007339316324230976)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[12.997732771197052, 0.018575731060946142, 0.011288681108969507], [9.890377242647531, 0.01411489071800565, 0.01807336711376858], [6.723703815387941, 0.011045357647315308, 0.01151709306832291], [0.8654116253505342, 0.0631047428114181, -0.021301991318765458]]","[[0.03403387108861391, 0.13909935849570368], [0.004651602534271036, 0.008324971551841419]]",[[0.204020667705112]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
7,0.05,2,4,1,2,"(b = 6.734332679348664, c_ea = 0.011837041857423803, c_el = 0.011588992855858512, mu_l = 0.19845003276230241, c_pa = 0.0, mu_a = 0.0)","(b = 6.734274450152503, c_el = 0.011589298530514032, c_ea = 0.011836739223781244, c_pa = 0.004911804541654707, mu_l = 0.1984500327623024, mu_a = 0.007792400127275185)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[8.935350612147813, 0.013951977157394546, 0.018165809838749276], [6.734332679348664, 0.011837041857423803, 0.011588992855858512], [0.2185170322277304, 0.10260577532448076, -0.052715867003692164], [11.58429204186072, 0.017943996121234155, 0.011438401479482692]]","[[0.034052624516263445, 0.14022304473611047], [0.004803256273933272, 0.008822684261217953]]",[[0.19845003276230241]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
8,0.05,2,4,1,2,"(b = 6.712168901742129, c_ea = 0.011812077807025147, c_el = 0.012325955533281526, mu_l = 0.2107948719693696, c_pa = 0.0, mu_a = 0.0)","(b = 6.709350988960751, c_el = 0.012324977467634517, c_ea = 0.011807811553287084, c_pa = 0.004733237095695447, mu_l = 0.21079487196936963, mu_a = 0.007463815515728838)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[10.649013645493056, 0.016729000148282797, 0.01248269614161972], [0.05703598935406976, 0.17782653213766766, -0.10843406634347068], [6.712168901742129, 0.011812077807025147, 0.012325955533281526], [8.670309134017335, 0.013896669089790908, 0.017528991053567724]]","[[0.004623049946028231, 0.008428728639887731], [0.03390077658391231, 0.13758180312284518]]",[[0.2107948719693696]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
9,0.05,2,4,1,2,"(b = 6.8678566873071425, c_ea = 0.012059697782797082, c_el = 0.012490373217681981, mu_l = 0.19832125821287802, c_pa = 0.0, mu_a = 0.0)","(b = 6.856335892109769, c_el = 0.012486167449589547, c_ea = 0.012042799314684017, c_pa = 0.004491414876667868, mu_l = 0.19832125821287794, mu_a = 0.007380989920824369)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.00027237071927974484, -2.237722894993161, 1.738155543514511], [10.22252726045848, 0.016235437914129108, 0.012688034625385317], [6.8678566873071425, 0.012059697782797082, 0.012490373217681981], [8.39807121791599, 0.013617509677418906, 0.017594834365863832]]","[[0.004353866181371709, 0.00833884528522549], [0.03443548379537089, 0.1429891582786523]]",[[0.19832125821287802]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
10,0.05,2,4,1,2,"(b = 6.291820835078135, c_ea = 0.011327851752978383, c_el = 0.011577994879442142, mu_l = 0.1967859801758776, c_pa = 0.0, mu_a = 0.0)","(b = 6.2913794700885415, c_el = 0.011579197412232529, c_ea = 0.011327034535959896, c_pa = 0.004743437135369501, mu_l = 0.19678598017587784, mu_a = 0.007901659005420374)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.17909944498397584, 0.11039013254422532, -0.05899272038718467], [6.291820835078135, 0.011327851752978383, 0.011577994879442142], [9.098741844297207, 0.014358564979417926, 0.017867991784116265], [11.573736379399481, 0.018198017097074488, 0.011405872273808591]]","[[0.03425682425312089, 0.14219927363142718], [0.004622483873815062, 0.008899876624877663]]",[[0.1967859801758776]],"[0.9990528407653815, 0.9797024210016722, 0.9877247214842042]"
