sim_num,interval_range,taylor_n,L_num_real_solutions,P_num_real_solutions,A_num_real_solutions,pred_parameters,sampled_parameters,param_intevals,L_all_real_solutions,P_all_real_solutions,A_all_real_solutions,offmul
1,0.05,1,1,1,1,"(b = 6.335162322905317, c_ea = 0.011687566991801622, c_el = 0.012477448304042129, mu_l = 0.19991842353200762, c_pa = 0.0, mu_a = 0.0)","(b = 6.3341448806806, c_el = 0.012487640867505355, c_ea = 0.011685261973469927, c_pa = 0.004762360203153427, mu_l = 0.1999184235320077, mu_a = 0.007631851812391697)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.335162322905317, 0.011687566991801622, 0.012477448304042129]]","[[0.0037653958851864475, 0.00815810033305105]]",[[0.19991842353200762]],"[1.0102125482696749, 1.0095162398351487, 0.9639943796720847]"
1,0.05,2,4,1,2,"(b = 6.334071982612814, c_ea = 0.011685127608180546, c_el = 0.012487901655845351, mu_l = 0.19991842353200762, c_pa = 0.0, mu_a = 0.0)","(b = 6.3341448806806, c_el = 0.012487640867505355, c_ea = 0.011685261973469927, c_pa = 0.004762360203153427, mu_l = 0.1999184235320077, mu_a = 0.007631851812391697)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.01836956746168104, 0.29506637585117124, -0.19844617917061694], [6.334071982612814, 0.011685127608180546, 0.012487901655845351], [8.973936812906398, 0.014792039794820574, 0.017204971878828978], [10.71528946890791, 0.017286735949606613, 0.01269059388167255]]","[[0.03364709542498649, 0.1350750324550281], [0.004660427424944158, 0.008587936403982104]]",[[0.19991842353200762]],"[1.0102125482696749, 1.0095162398351487, 0.9639943796720847]"
1,0.05,3,1,1,1,"(b = 6.334146787377569, c_ea = 0.011685265307259716, c_el = 0.012487636235221148, mu_l = 0.19991842353200762, c_pa = 0.004753720756236445, mu_a = 0.0075803390575902825)","(b = 6.3341448806806, c_el = 0.012487640867505355, c_ea = 0.011685261973469927, c_pa = 0.004762360203153427, mu_l = 0.1999184235320077, mu_a = 0.007631851812391697)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.334146787377569, 0.011685265307259716, 0.012487636235221148]]","[[0.004753720756236445, 0.0075803390575902825]]",[[0.19991842353200762]],"[1.0102125482696749, 1.0095162398351487, 0.9639943796720847]"
1,0.05,4,4,1,2,"(b = 6.3341448468687025, c_ea = 0.011685261915723258, c_el = 0.012487640933415922, mu_l = 0.19991842353200762, c_pa = 0.0047615378365834255, mu_a = 0.007641664817347326)","(b = 6.3341448806806, c_el = 0.012487640867505355, c_ea = 0.011685261973469927, c_pa = 0.004762360203153427, mu_l = 0.1999184235320077, mu_a = 0.007631851812391697)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.3341448468687025, 0.011685261915723258, 0.012487640933415922], [15.864777941065647, 0.02077459571731913, 0.012605485369134806], [10.843964207870213, 0.016318108339928916, 0.019879365238711456], [0.001495743493097428, 0.2071227214794472, -0.13176496995954362]]","[[0.03993877226972823, 0.21310606931350093], [0.0047615378365834255, 0.007641664817347326]]",[[0.19991842353200762]],"[1.0102125482696749, 1.0095162398351487, 0.9639943796720847]"
1,0.05,5,1,1,1,"(b = 6.334144881145998, c_ea = 0.011685261974253838, c_el = 0.012487640866727306, mu_l = 0.19991842353200762, c_pa = 0.0047623122566763315, mu_a = 0.007631445789885025)","(b = 6.3341448806806, c_el = 0.012487640867505355, c_ea = 0.011685261973469927, c_pa = 0.004762360203153427, mu_l = 0.1999184235320077, mu_a = 0.007631851812391697)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.334144881145998, 0.011685261974253838, 0.012487640866727306]]","[[0.0047623122566763315, 0.007631445789885025]]",[[0.19991842353200762]],"[1.0102125482696749, 1.0095162398351487, 0.9639943796720847]"
1,0.05,6,4,1,2,"(b = 6.3341448806693235, c_ea = 0.011685261973452014, c_el = 0.012487640867513174, mu_l = 0.19991842353200762, c_pa = 0.004762356778820831, mu_a = 0.007631898687745074)","(b = 6.3341448806806, c_el = 0.012487640867505355, c_ea = 0.011685261973469927, c_pa = 0.004762360203153427, mu_l = 0.1999184235320077, mu_a = 0.007631851812391697)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.0002292356862645779, 0.19210413108595406, -0.12030457788217884], [22.196393289404128, 0.02395738160284274, 0.012613516790184683], [6.3341448806693235, 0.011685261973452014, 0.012487640867513174], [12.820404585980357, 0.017742759629985016, 0.02230404969007001]]","[[0.004762356778820831, 0.007631898687745074], [0.04706249120818847, 0.27426758260270345]]",[[0.19991842353200762]],"[1.0102125482696749, 1.0095162398351487, 0.9639943796720847]"
1,0.05,7,1,1,1,"(b = 6.334144880678033, c_ea = 0.011685261973466416, c_el = 0.012487640867502474, mu_l = 0.19991842353200762, c_pa = 0.004762360057955991, mu_a = 0.007631850196016994)","(b = 6.3341448806806, c_el = 0.012487640867505355, c_ea = 0.011685261973469927, c_pa = 0.004762360203153427, mu_l = 0.1999184235320077, mu_a = 0.007631851812391697)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.334144880678033, 0.011685261973466416, 0.012487640867502474]]","[[0.004762360057955991, 0.007631850196016994]]",[[0.19991842353200762]],"[1.0102125482696749, 1.0095162398351487, 0.9639943796720847]"
2,0.05,1,1,1,1,"(b = 6.84776306357228, c_ea = 0.011420643679116037, c_el = 0.011728607258242452, mu_l = 0.19648739811519841, c_pa = 0.0, mu_a = 0.0)","(b = 6.861445433534938, c_el = 0.011767254103901444, c_ea = 0.011440121585594891, c_pa = 0.0046933791417937635, mu_l = 0.19648739811519847, mu_a = 0.0074857829877797355)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.84776306357228, 0.011420643679116037, 0.011728607258242452]]","[[0.003635976214937938, 0.008429668292378087]]",[[0.19648739811519841]],"[1.0102125482696749, 1.0095162398351487, 0.9639943796720847]"
2,0.05,2,4,1,2,"(b = 6.860801480500295, c_ea = 0.011439341395681053, c_el = 0.011765739632257338, mu_l = 0.19648739811519841, c_pa = 0.0, mu_a = 0.0)","(b = 6.861445433534938, c_el = 0.011767254103901444, c_ea = 0.011440121585594891, c_pa = 0.0046933791417937635, mu_l = 0.19648739811519847, mu_a = 0.0074857829877797355)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.860801480500295, 0.011439341395681053, 0.011765739632257338], [12.985055388721861, 0.01862430126746613, 0.011604317862374793], [9.97424222898648, 0.014475036384079118, 0.01811366012924313], [0.5831874276763799, 0.07307520702568601, -0.02870649130280399]]","[[0.03378871564846445, 0.1363401634462178], [0.004584695028471421, 0.008434348676919216]]",[[0.19648739811519841]],"[1.0102125482696749, 1.0095162398351487, 0.9639943796720847]"
2,0.05,3,1,1,1,"(b = 6.86142303320048, c_ea = 0.011440095111375578, c_el = 0.011767203979964346, mu_l = 0.19648739811519841, c_pa = 0.004683785005199789, mu_a = 0.007442077692401533)","(b = 6.861445433534938, c_el = 0.011767254103901444, c_ea = 0.011440121585594891, c_pa = 0.0046933791417937635, mu_l = 0.19648739811519847, mu_a = 0.0074857829877797355)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.004465, 0.004935), mu_l = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.86142303320048, 0.011440095111375578, 0.011767203979964346]]","[[0.004683785005199789, 0.007442077692401533]]",[[0.19648739811519841]],"[1.0102125482696749, 1.0095162398351487, 0.9639943796720847]"
