interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.2,6,216,0,"Number[1.7175588379237938 + 1.3374772483754214im, 0.003367503090133586 + 0.005583851288030643im, 0.0038103032190052294 + 0.006179485035460525im, -0.007666171748422647 + 0.03457595685554434im, -0.017172903661779128 + 0.002902948629628202im, 0.21664932423611846 + 0.0im]","[5.60411251354347, 0.010936450525274647, 0.011457657418944094, 0.004188903890239792, 0.21664932423611846, 0.007599107788192324]","[292.7585852630989, 5.572138338199906, 107.85998976703065]"
0.2,6,216,0,"Number[1.6632889587752353 + 1.0752417579268891im, -0.0010126796464719379 + 0.004583243417317911im, -0.0026178981495978246 + 0.012190534208126689im, 0.020635313936018328 + 0.028683524814529574im, -0.00044264995904143094 - 0.0009670804119559036im, 0.23351029718218771 + 0.0im]","[7.133339507562581, 0.011541370573434628, 0.010708702008829823, 0.0041560045559545355, 0.23351029718218777, 0.007589758496886956]","[269.33227577568, 4.967830118893479, 93.43750205426646]"
0.2,6,216,0,"Number[2.378881886401326 + 1.221160998513602im, 0.0021210495310166077 + 0.003803840511161572im, 0.005080437572130595 + 0.007927476884475374im, 0.020221447303493612 - 0.028200179730039684im, -0.00012552373113010183 + 0.0010908221244841781im, 0.16462579510634434 + 0.0im]","[6.170133804768942, 0.010927903194760946, 0.009959172835397935, 0.005219275165306462, 0.16462579510634434, 0.007624221999303084]","[258.7456587178, 5.376529948490976, 94.06500510275616]"
0.2,6,216,0,"Number[-0.1114101983326441 - 0.4547305238177863im, 0.014416383832035288 + 0.03861838859184062im, -0.010090982226750967 - 0.034462481263921325im, 0.004673624017597769 + 0.0im, 0.007463115683963404 + 0.0im, 0.23449541808687946 + 0.0im]","[7.202165759270635, 0.013267506365493327, 0.013387435759908367, 0.004673600712975929, 0.23449541808687951, 0.007463124096739991]","[225.5266229192169, 4.771052846785453, 105.40097714584645]"
0.2,6,20,1,"Number[0.014739961597203243, 0.08785427754258483, -0.05582027238421163, 0.03196692279651454, 0.0056910937594502435, 0.21760729165768183]","[7.790141113271263, 0.012330654387028517, 0.009500913387847658, 0.0053130988519852484, 0.21760729165768183, 0.008183162593727556]","[207.60245661710775, 4.167778215367006, 100.24186753668769]"
0.2,6,216,0,"Number[2.860947036535307 - 0.7199895626802403im, 0.006203776609445427 - 0.0021189005494439976im, 0.005740737154845855 - 0.0019180236015396495im, 0.017777621696897204 + 0.024859550570162404im, 0.0038235376034916283 - 0.00045860868974954177im, 0.24455436607621 + 0.0im]","[5.971739244886521, 0.010533607563512546, 0.012317324747164288, 0.005339577006882728, 0.2445543660762099, 0.006856315367059022]","[286.43105416027464, 4.262057942624453, 107.12364841695222]"
0.2,6,216,0,"Number[1.3637596459951866 - 1.6591725043802328im, -0.0009730678386253908 - 0.010193550957380048im, 0.008850543620638912 + 0.00011346381570267795im, 0.023041056573579705 - 0.03197940811672785im, -0.00878060860451798 + 0.0018810153122120624im, 0.1733956821745096 + 0.0im]","[7.538220959138761, 0.01302766892056787, 0.013181947899453338, 0.003984499706748479, 0.17339568217450962, 0.0072862357073002265]","[262.57448362906575, 5.868965259629391, 83.06673421764664]"
0.2,6,216,0,"Number[0.5668559954506075 - 1.8989981146724144im, -0.0007072399223453095 - 0.015952389522796494im, 0.010031901268149224 + 0.00800682924263157im, 0.023123041417011846 + 0.03211435366466483im, -7.297833208138253e-5 - 0.0010476951381699895im, 0.17823401898565533 + 0.0im]","[6.937468553762177, 0.010701904526852222, 0.013739921354980339, 0.004286569756475544, 0.17823401898565538, 0.009003924457981427]","[257.13800499288885, 4.682058642474514, 83.60320962965714]"
0.2,6,216,0,"Number[1.7039557985752867 - 2.136909448353125im, 0.0030423225483239085 - 0.010821735747936018im, 0.010060331379857372 + 0.007828818424240094im, -0.009366287080392223 + 0.04224986326590763im, -0.025354634559687173 + 0.003625927863919638im, 0.18935104567197442 + 0.0im]","[7.0791732263210845, 0.01369753914000364, 0.013146799625635544, 0.005148920921446741, 0.18935104567197444, 0.007900018101122855]","[214.45482601066735, 5.222082157873553, 87.84225216862536]"
0.2,6,216,0,"Number[0.15847628409236694 + 0.8585371387939188im, -0.011169651600249936 + 0.016734886689428387im, 0.010673749011259804 - 0.0013121518631882226im, 0.04023958640048352 - 1.2868893973670072e-85im, -0.00169983200946431 - 4.118046071574423e-84im, 0.22493555756015274 + 0.0im]","[6.5123359146498085, 0.011806222053592868, 0.012850919922459849, 0.00421916987160423, 0.22493555756015268, 0.006996725130931028]","[278.61705977345036, 4.803732263220754, 80.5845858102011]"
