interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.05,1,1,1,"Number[2.2337909946215286, 0.0019420131496073294, 0.0031308339578009826, 0.0036445954995816274, 0.007848844738676234, 0.21195758769009512]","[6.550427959697422, 0.012019467155303897, 0.011935812675575443, 0.00454825889290259, 0.21195758769009512, 0.007742582754463489]","[242.5924050936769, 5.226422189647449, 98.63452005787646]"
0.05,1,1,1,"Number[2.2975780238859116, 0.0016825746573013757, 0.003185516172418582, 0.0036828960152541406, 0.0074254073536864015, 0.20651736373650698]","[6.918444814229123, 0.01222572513679016, 0.011607648211261874, 0.004642689628558513, 0.20651736373650698, 0.007338804296864675]","[245.8516830032287, 4.783292318206352, 101.64461136376173]"
0.05,1,1,1,"Number[2.193921388367708, 0.001981806005113132, 0.0029682775898714703, 0.0036651488067378705, 0.0074092999590155304, 0.20474579317845099]","[6.536329730879267, 0.012374925683875012, 0.01197405552812152, 0.0046242946783341485, 0.20474579317845096, 0.007305958015197596]","[256.27320605286724, 5.182804646421982, 102.20801468033967]"
0.05,1,1,1,"Number[2.349624649397804, 0.0018229940187666897, 0.0029675854979479446, 0.0037959839329370576, 0.007843582920194173, 0.2004387994953953]","[6.487939110032733, 0.011860793310901249, 0.011226729213450132, 0.004801021307934992, 0.2004387994953954, 0.007743085862738519]","[262.2203463822376, 5.006241743257537, 99.61316676808099]"
0.05,1,1,1,"Number[2.2403366481962026, 0.0018748107727127148, 0.0029637228859007137, 0.0037231501205574158, 0.0074823659869029105, 0.1980186930129288]","[6.892960842508481, 0.01261957433167363, 0.012082139165238164, 0.004732761440120004, 0.1980186930129287, 0.007375948661682171]","[261.0127914040281, 5.2304771737236955, 103.29133362143817]"
0.05,1,1,1,"Number[2.1953961921084058, 0.0019832801787919, 0.0029236769138284878, 0.003686648446157769, 0.0079206191562456, 0.19686177437823482]","[6.528463310770748, 0.012165713330537703, 0.011900846868197364, 0.004667278811741513, 0.1968617743782348, 0.00782655638510092]","[259.4410969895351, 5.027964500491962, 103.01985771635889]"
0.05,1,1,1,"Number[2.2788461453041022, 0.0015892916667088167, 0.003184119181103799, 0.003618715144789119, 0.008050456665551818, 0.20308866972969886]","[6.872131680429165, 0.012581806808435056, 0.011337903665834613, 0.004570234533150868, 0.20308866972969883, 0.007960263013720142]","[249.48903248819997, 5.024947376639259, 104.11445896293236]"
0.05,1,1,1,"Number[2.3576164232231, 0.001929792750099765, 0.003017697162543208, 0.003785691142448576, 0.008024902926156511, 0.203411913040956]","[6.71819722341036, 0.011619230490719428, 0.012001706386115536, 0.00472896725557338, 0.203411913040956, 0.007917974583463258]","[254.85536915095858, 5.072770774510079, 95.31776968795216]"
0.05,1,1,1,"Number[2.4006712080414765, 0.0016297163049648882, 0.003218222910297504, 0.0036387793977418637, 0.007892326786867252, 0.19917463676750558]","[6.8078992271267875, 0.011740395830772625, 0.011331148577594607, 0.004512407360373005, 0.19917463676750555, 0.007799951330500156]","[245.2519575933557, 4.894852835757201, 96.5831644292177]"
0.05,1,1,1,"Number[2.2940499406829273, 0.0017229099089583718, 0.003080861927859513, 0.003648264269902378, 0.007742646451335515, 0.21090628955995663]","[6.640245680343058, 0.012119832893294092, 0.011228077341610812, 0.00460186639340444, 0.21090628955995663, 0.00763936147402863]","[253.44714093938822, 5.233433100652112, 102.60524564727723]"
0.05,1,1,1,"Number[2.2848190008743985, 0.002021235116722955, 0.0029184249587464565, 0.0038631093490309547, 0.007488270907005823, 0.210691328815401]","[6.309164025484624, 0.011537496528551051, 0.011468180233158131, 0.004907983374435334, 0.210691328815401, 0.007393424617525753]","[258.3967197482412, 4.801618245644921, 99.5156858108224]"
0.05,1,1,1,"Number[2.3433736718505265, 0.0017712702272612505, 0.0031471534897327597, 0.0036862355147014784, 0.0074197997029825085, 0.20331257913960685]","[6.784501818553943, 0.011937947903549627, 0.01172187932877008, 0.004596403458866973, 0.20331257913960685, 0.00731911457539467]","[247.71677267268103, 5.011050409643264, 97.27064489413974]"
0.05,1,1,1,"Number[2.292209695659494, 0.0017556956840482374, 0.0030641815301636907, 0.0037887523302988957, 0.0077102804672645915, 0.1957196942409105]","[6.875527403212287, 0.012299206018396843, 0.011662564210172224, 0.00482950129989956, 0.19571969424091049, 0.007612279047539758]","[254.6549851972348, 5.007848285138077, 102.60477951315275]"
0.05,1,1,1,"Number[2.2241795749528563, 0.0017985374013307625, 0.003123014503694642, 0.003698158461009367, 0.0075807970908317295, 0.19573776471930554]","[6.487520794907988, 0.011519562118895658, 0.011130147092204511, 0.0047008060966356275, 0.1957377647193055, 0.007481433518634917]","[242.26879822100415, 5.12166359877807, 104.07578803822992]"
0.05,1,1,1,"Number[2.3589736792456435, 0.0018993489613813208, 0.0030274577490143105, 0.0038468395988165366, 0.007884754757970309, 0.20526873404885018]","[6.327493408743801, 0.01203384916535605, 0.011378982985642997, 0.0048309050869516385, 0.2052687340488501, 0.007769843125864738]","[256.7492975153016, 5.174625579456221, 95.59099050009308]"
0.05,1,1,1,"Number[2.2500288183225727, 0.0017361440018581287, 0.0031450385838056867, 0.003577355099539968, 0.00774779125821361, 0.21090837414320854]","[6.61766905538468, 0.011820369211825587, 0.01122936344201622, 0.004496010228961382, 0.2109083741432085, 0.007657442214891284]","[244.61382913230005, 5.017794394795505, 103.44394261992962]"
0.05,1,1,1,"Number[2.333755638709712, 0.0016623638630745084, 0.003172400076461115, 0.0038577768986598994, 0.00764812110365887, 0.19602984725364284]","[6.576811630343685, 0.012639889032535491, 0.011150298014995157, 0.004910916924173096, 0.1960298472536428, 0.007548701074996266]","[250.41404140855698, 4.931991416832916, 100.28411515566302]"
0.05,1,1,1,"Number[2.2383258350834168, 0.0017005520563187723, 0.0032305218057142506, 0.003573555197163903, 0.007595848312320465, 0.20456797834246662]","[6.8403525904340094, 0.012046093708696443, 0.01157547760846609, 0.0044833144526110905, 0.20456797834246665, 0.007507911280714333]","[239.2795268008555, 4.938811926367412, 102.90828272858704]"
0.05,1,1,1,"Number[2.4640400086624186, 0.001674427831386845, 0.0030912911182745446, 0.003815516207058393, 0.00768168432726975, 0.20051249702332974]","[6.727112398972992, 0.012085024836323701, 0.011295665988436895, 0.00477473093464124, 0.2005124970233297, 0.007565392016981803]","[258.75952894257955, 5.200472403009211, 95.08002122124171]"
0.05,1,1,1,"Number[2.193810486782775, 0.0019407805619642057, 0.0029987391605808813, 0.003680852901633422, 0.007852636016123741, 0.2010988708301134]","[6.316163472062791, 0.012441852164399032, 0.011544630704245011, 0.004655407432047915, 0.20109887083011346, 0.007765400287837666]","[254.532443696303, 4.866983177609112, 102.92333815797224]"
0.05,2,8,0,"Number[0.48353724005306953 + 1.8045510766919821im, 0.0012796852245090915 + 0.011850573820371175im, 0.0038981638715346444 - 0.00898342860911347im, 0.014696899798118184 + 4.078315292499078e-55im, 0.0066905864698921305 + 8.156630584998156e-56im, 0.21240769531365686 + 0.0im]","[6.504023519444439, 0.011885395940675107, 0.011619963760333477, 0.004730709922175757, 0.21240769531365686, 0.007911678421047738]","[240.08289098820202, 5.029026400889235, 98.84741119026661]"
0.05,2,8,0,"Number[0.4784845435518789 + 1.8234758346991127im, 0.0012130867732494924 + 0.011810919155677403im, 0.003850645699180295 - 0.008852467217277362im, 0.005203476770784034 + 0.0im, 0.007415956664116868 + 3.587324068671532e-43im, 0.2039543648573186 + 0.0im]","[6.502892895759803, 0.011667758703008378, 0.011311683999233173, 0.004842598595279843, 0.20395436485731855, 0.007474000349157867]","[244.59661260782025, 4.92439600685584, 99.88214789649273]"
0.05,2,8,0,"Number[0.4900484792573126 - 1.8447206584406153im, 0.0013411838476514 - 0.011101748147700987im, 0.0035343134776169467 + 0.00833137045416299im, 0.014140596087073073 + 8.552847072295026e-50im, 0.006215819655564829 + 7.483741188258148e-50im, 0.20054262651455249 + 0.0im]","[6.835727914978179, 0.012508207032506486, 0.011681366613358665, 0.004542424889227363, 0.2005426265145524, 0.007290171409958097]","[255.96945917840435, 4.897151784656719, 102.9528122599247]"
0.05,2,8,0,"Number[2.1355108640092273 - 0.5108591907540726im, 0.0019705453758497864 - 0.002021396595512553im, 0.003291692295717176 - 0.003095785600890882im, 0.005228863074069178 + 5.3809861030072976e-43im, 0.007650601111417831 - 2.2420775429197073e-44im, 0.20778756246833147 + 0.0im]","[6.520598493401391, 0.011623019721500106, 0.011933154739632586, 0.004881385659642643, 0.2077875624683315, 0.0077163906749189255]","[241.30455536237744, 5.195253236785303, 97.35052439768256]"
0.05,2,8,0,"Number[2.164636774085217 - 0.457611050647982im, 0.0016402664508670273 - 0.0016971293350903074im, 0.0032607672496882704 - 0.0031043928121020485im, 0.013806335326676649 - 9.4039548065783e-38im, 0.0068315393643888275 - 1.6163047323806453e-38im, 0.20437243944703723 + 0.0im]","[6.883519915915109, 0.012289400970413885, 0.011510012705781333, 0.004634743212877042, 0.20437243944703715, 0.007804600575270231]","[251.4283364304592, 4.904011089528897, 104.21068141183561]"
0.05,2,8,0,"Number[2.278365905579058 - 0.4517089824055892im, 0.0017083723650644436 - 0.0017478668045429252im, 0.0032263254085557434 - 0.0030908694084471945im, 0.015659866123058665 + 3.2626522339992623e-55im, 0.006053216333782251 + 6.525304467998525e-55im, 0.19694606085145014 + 0.0im]","[6.372010041995675, 0.012389063291444945, 0.01122521014455054, 0.004480382434921094, 0.1969460608514502, 0.007599519034432187]","[256.9392274532834, 5.075387593923483, 95.50250859611134]"
0.05,2,8,0,"Number[2.0497157120317535 + 0.49000221054303855im, 0.002012906588767899 + 0.0020414966171420543im, 0.0032828369540156637 + 0.00313001809763068im, 0.005041932292339086 + 7.83036536159823e-54im, 0.007903409968645601 - 6.860182864597148e-54im, 0.2153854072397471 + 0.0im]","[6.425269259494454, 0.012519823517117282, 0.01209689209016096, 0.00471505678885998, 0.21538540723974708, 0.007953147189016787]","[239.802972648852, 4.811524146982766, 100.25531958535376]"
0.05,2,8,0,"Number[2.2901724389824687 + 0.4826155812448772im, 0.0017804780656454871 + 0.0018273762184719197im, 0.003201700405869696 + 0.0030517841798126063im, 0.005212777569251217 - 4.3449491127229384e-57im, 0.007915127873621202 + 3.2626522339992623e-55im, 0.2153861654144415 + 0.0im]","[6.757130611768151, 0.012029893466736713, 0.011668979796365025, 0.004876187691265863, 0.2153861654144416, 0.007970495032778638]","[255.6801437829679, 4.8736401239352505, 96.655912461587]"
0.05,2,8,0,"Number[0.4460734700530575 - 1.7637061024658096im, 0.0013857752965397456 - 0.011407260641260247im, 0.003748325501794451 + 0.008833398486073275im, 0.013948314462906185 - 1.1210387714598537e-44im, 0.006971014361708026 - 6.656167705542881e-45im, 0.19840400729995533 + 0.0im]","[6.780291954709628, 0.011859145628253569, 0.012049673785669776, 0.004732337518730229, 0.19840400729995533, 0.008005629106776047]","[244.40972529380733, 5.008693257389344, 102.73673921229694]"
0.05,2,8,0,"Number[0.30297339612455504 + 1.7625118534876412im, 0.0011150811797170032 + 0.012156452098136889im, 0.0038707247524067956 - 0.009139788836316312im, 0.005000489566521923 - 2.8698592549372254e-42im, 0.007490404323003788 + 3.587324068671532e-43im, 0.20814847620609697 + 0.0im]","[6.728261448569873, 0.012292540210836434, 0.011440287694010898, 0.004668805323123102, 0.20814847620609706, 0.007549206238488973]","[244.00429634244108, 5.1631647434187995, 101.87144475297872]"
0.05,2,8,0,"Number[0.4002318034892435 + 1.7795989899498164im, 0.0012629275844224042 + 0.011387793777169688im, 0.003676545667239927 - 0.008684445630913737im, 0.005017104771771415 - 6.842277657836021e-49im, 0.007415440444612871 + 0.0im, 0.19767023720355298 + 0.0im]","[6.769164615804806, 0.011784795080238537, 0.011524704171220247, 0.004660825292657446, 0.19767023720355298, 0.00746725450705899]","[251.35857558758056, 4.8669920719313335, 104.84456617132854]"
0.05,2,8,0,"Number[0.36388682755526774 - 1.8001463082086757im, 0.0010991227571754297 - 0.012390233308366102im, 0.003972093001394483 + 0.009227709994574312im, 0.01471185382598004 + 0.0im, 0.006583736847089202 + 0.0im, 0.20705499727271165 + 1.8546030753437107e-68im]","[6.500059750639477, 0.012437297191860389, 0.01127614436299135, 0.004780309799576293, 0.2070549972727116, 0.007891769495876139]","[239.36016330826473, 5.1796463192860305, 98.37152663151082]"
0.05,2,8,0,"Number[0.418803547859069 - 1.7961636971071289im, 0.0013789761105064704 - 0.011791002962081349im, 0.003763594670185453 + 0.008908927448320255im, 0.014463874317675941 - 1.1479437019748901e-40im, 0.006327671600946058 + 1.0044507392280289e-41im, 0.21559466291333923 + 0.0im]","[6.364171627834726, 0.012449003689090065, 0.011507615274555589, 0.004768606171541213, 0.21559466291333915, 0.00751353300812382]","[243.0537186209605, 5.036313018126554, 99.74571442544135]"
0.05,2,8,0,"Number[0.56830471555163 - 1.9027297110210746im, 0.0013247575397467308 - 0.011321819809558145im, 0.0035772895940241766 + 0.008257694046979815im, 0.014300590544089244 + 0.0im, 0.006103418319782855 + 0.0im, 0.2037435611034574 + 0.0im]","[6.552515012515451, 0.011961278485295492, 0.011230110977465874, 0.0048858177303216024, 0.20374356110345734, 0.007315562357133572]","[256.23985871566816, 5.165585461187324, 99.73867635046292]"
0.05,2,8,0,"Number[1.9980866123491696 - 0.4786716405650322im, 0.0019043927328200852 - 0.0019451626768153968im, 0.003301052716236236 - 0.003136640989423184im, 0.004916342883135114 + 0.0im, 0.007747944854246613 + 0.0im, 0.1993971636670429 + 0.0im]","[6.592385331820628, 0.012429600705977904, 0.012015135082902122, 0.004584662772603122, 0.1993971636670429, 0.007804697764713853]","[239.20479551945584, 5.1940312565582385, 104.46670648147732]"
0.05,2,8,0,"Number[2.0866922078741608 + 0.500831425047143im, 0.0019077732723499579 + 0.0019426559098396849im, 0.003163310820786403 + 0.0030014752491027644im, 0.00534824821185544 + 1.0691058840368783e-50im, 0.00723206434538069 + 4.0091470651382935e-51im, 0.20158652941723407 + 0.0im]","[6.491375039014496, 0.011731393837559981, 0.011476467610938871, 0.004911875043067218, 0.2015865294172341, 0.0072904772051709124]","[249.3490958001301, 4.773410607277982, 104.42520413401304]"
0.05,2,8,0,"Number[0.30168841196635776 - 1.799516898116124im, 0.0010459343742392515 - 0.011800051003823744im, 0.0036838152015497136 + 0.008722147700400024im, 0.004955632393159641 + 4.276423536147513e-50im, 0.007664283420621465 - 2.966768828202337e-49im, 0.19682144625292372 + 0.0im]","[6.87221631362237, 0.012275248014069587, 0.01109194879161636, 0.004613220453624784, 0.19682144625292378, 0.007721417969522908]","[255.52336522222186, 5.161057397664681, 104.73761053969253]"
0.05,2,8,0,"Number[0.4186480945047389 + 1.762646094404806im, 0.0014316986768369655 + 0.011500911145073692im, 0.0037108085420674607 - 0.008822845641375142im, 0.013805431533458241 - 1.401920881796558e-56im, 0.006711233138105043 + 0.0im, 0.2137463221077686 + 0.0im]","[6.38743985489068, 0.011697167297309016, 0.011539438121008893, 0.004840837068109834, 0.2137463221077686, 0.007683953838023183]","[245.92778123175512, 4.935613443597996, 102.78221805080072]"
0.05,2,8,0,"Number[2.165707198280466 + 0.473266686434816im, 0.001744229344572905 + 0.0018019020231860444im, 0.003340580758331182 + 0.003169786663397143im, 0.005304476385907121 + 0.0im, 0.007438445464052308 + 1.9575913403995574e-54im, 0.20576385465514485 + 0.0im]","[6.768770159668967, 0.012353341918745103, 0.011724962711533175, 0.00491228265541701, 0.20576385465514485, 0.007501700303743239]","[243.67642870710372, 5.003873489275913, 100.69618606914243]"
0.05,2,8,0,"Number[2.136387017698357 - 0.4885321275492565im, 0.0018484240641240123 - 0.0018914886735974217im, 0.0031971135404533705 - 0.0030259954009580568im, 0.01453474858404221 - 2.2958874039497803e-41im, 0.006286725165484499 - 5.524479065754159e-41im, 0.1975619732501961 + 0.0im]","[6.359403653283643, 0.011597608843620742, 0.011337097780045494, 0.004578400013795241, 0.19756197325019612, 0.007506764322729651]","[250.92702799922898, 5.02701827899631, 100.56805530532338]"
0.05,3,2,1,"Number[2.6446894667777503, 0.0025093791347129742, 0.005215420817129989, 0.004473348982941692, 0.007651097076925288, 0.20880219540078276]","[6.798056796239782, 0.011990938993786752, 0.011228393001271769, 0.004496825384488788, 0.20880219540078282, 0.007644481787999709]","[246.27627245176782, 5.080934492601581, 96.78802756764448]"
0.05,3,3,1,"Number[2.566000647305445, 0.0026589287881919623, 0.005150594609438068, 0.004646160935100006, 0.007682406874386066, 0.19695858004246516]","[6.622750675514999, 0.011912495488585815, 0.01116745099870177, 0.0046766556647496686, 0.19695858004246514, 0.007674511114314576]","[244.85590963232775, 5.116628143506885, 99.74672973225023]"
0.05,3,13,1,"Number[2.5362892263921557, 0.0028340070156837242, 0.005178581302733572, 0.004884870383291778, 0.007947783360863384, 0.20137101601858698]","[6.291383604881438, 0.012116990042754313, 0.011012585979509508, 0.004922109349320828, 0.20137101601858698, 0.007938395141389961]","[240.71254060851592, 5.16086462569041, 99.1882171018367]"
0.05,3,12,1,"Number[2.606330390013823, 0.0026073275270662687, 0.004936123091397819, 0.004539275239760135, 0.0075543548990997115, 0.20353630682500753]","[6.757833406896787, 0.011509202821013493, 0.011006420220118104, 0.004568752576079734, 0.20353630682500762, 0.007547118367019692]","[255.84973785653312, 5.04273791976082, 101.8769375475095]"
0.05,3,6,1,"Number[2.54774440750757, 0.0026949716160458138, 0.005193964531299882, 0.004860543358984572, 0.0072611913829247685, 0.1958507333649092]","[6.658213462171146, 0.012535638720424748, 0.011416028929822483, 0.004897298272606971, 0.19585073336490924, 0.007252158716083087]","[244.2304008468504, 5.046352218233654, 99.45840161532189]"
0.05,3,23,1,"Number[2.4696912815871888, 0.003083659334888436, 0.00502539825400323, 0.004849495460530902, 0.00739406255202399, 0.20686207502654347]","[6.7106330491409185, 0.012134849661124842, 0.01198110992822122, 0.004888519283601366, 0.2068620750265435, 0.007386115802604205]","[242.33234312013298, 4.76345260828998, 101.8105826525591]"
0.05,3,26,1,"Number[2.5609098811223867, 0.0029356264589487477, 0.005067882665979354, 0.004608963446216591, 0.007533123176651968, 0.20293756346254863]","[6.6283285534922, 0.01252815962122147, 0.011933392411796629, 0.004634784270880916, 0.20293756346254865, 0.007526257927835055]","[248.48177396581144, 4.955424260882484, 95.84806803687454]"
0.05,3,25,1,"Number[2.647684253393356, 0.002599627627806903, 0.005075543488457205, 0.004537070235143757, 0.007903962306853161, 0.1959947043673749]","[6.618808273164006, 0.012476699059616408, 0.011257468049166656, 0.004561098051786812, 0.19599470436737493, 0.007897541828069423]","[254.89363743985228, 4.963314425798879, 95.76106996980796]"
0.05,3,17,1,"Number[2.4191510514653056, 0.003031194454484137, 0.004953943757702116, 0.004589662913635397, 0.007751624108671156, 0.2090248315299931]","[6.651371528661365, 0.012540984453766207, 0.011895474571825916, 0.0046229059791141475, 0.2090248315299931, 0.007744928714149359]","[247.44699366781393, 4.777614941032327, 104.36429095614193]"
0.05,3,27,1,"Number[2.463123182371643, 0.0032584316536940017, 0.004805330173312879, 0.004476388984807248, 0.007428662344693669, 0.19698174853476738]","[6.293935129232499, 0.011520919372034227, 0.011866895223685588, 0.004501158603186766, 0.1969817485347673, 0.007421527965274069]","[251.6791568806196, 5.1876761884433735, 98.23681896927104]"
0.05,3,12,1,"Number[2.454524457168365, 0.0031029018436227436, 0.004893327604714963, 0.004627869482548757, 0.0072968201699626575, 0.21269691466326657]","[6.836659881658593, 0.011497735627620376, 0.011967690577607767, 0.00466248686977819, 0.21269691466326654, 0.007288048393510733]","[245.2831818451378, 5.241116054945542, 104.14854450586685]"
0.05,3,9,1,"Number[2.6625505087960786, 0.0023813607292683665, 0.005384073284979737, 0.004843451407898024, 0.007763320680608955, 0.20109575782028238]","[6.720621246471145, 0.012665153344302604, 0.011099656902434918, 0.004874855168310878, 0.20109575782028227, 0.007755474113468812]","[242.90769331232178, 4.911794933890152, 95.33015926335409]"
0.05,3,10,1,"Number[2.546774350221952, 0.0030909957771557703, 0.005053449392128344, 0.004489287586307776, 0.00749474525892273, 0.2024803416558607]","[6.630796329106843, 0.011620622500889749, 0.012087017457218224, 0.004511913653482362, 0.20248034165586073, 0.007488275258599518]","[242.80998616303398, 5.03242062989856, 95.23759225515697]"
0.05,3,15,1,"Number[2.7212435001969735, 0.002446118091036039, 0.005184856485663611, 0.004626476813775477, 0.007800412475640713, 0.20821197640030698]","[6.8712392091400805, 0.011690804374779153, 0.0110629261279946, 0.004652572478064409, 0.208211976400307, 0.007793715665936664]","[248.61025677479165, 4.901648330556387, 95.73813348895702]"
0.05,3,17,1,"Number[2.574976569953959, 0.0025621772580653704, 0.0050405307419502795, 0.004614890151104253, 0.00733794370109284, 0.21474217395409068]","[6.7363805290633945, 0.012265743454775883, 0.011069752895777784, 0.004646988098450163, 0.21474217395409073, 0.007330936238175703]","[253.28374667556687, 4.828639515906437, 102.415931867739]"
0.05,3,11,1,"Number[2.513482446134964, 0.0026018524901851325, 0.005239258189447321, 0.004544584699185637, 0.0074691816288178356, 0.2025830581005524]","[6.488711505523151, 0.012445304633087568, 0.011054015711688117, 0.004573324886337091, 0.20258305810055247, 0.00746196867270284]","[242.55894950273247, 5.037566169793909, 100.91476988853758]"
0.05,3,10,1,"Number[2.5504960401952705, 0.00278015134468989, 0.005038125466264972, 0.004837404625043002, 0.007854701268541184, 0.21316060380294588]","[6.772187899421628, 0.012682007042203028, 0.01158970266320812, 0.004875149736436103, 0.21316060380294594, 0.007846159302198431]","[250.8046630567708, 4.986306097000866, 101.01975403108938]"
0.05,3,7,1,"Number[2.528813229712758, 0.0029055803061268787, 0.005101608416604601, 0.004725990482719191, 0.007625757195810822, 0.19618606994987584]","[6.652670374695099, 0.012274795369163035, 0.011786062698145677, 0.004757333938841277, 0.19618606994987592, 0.0076181492915354835]","[244.63218576419231, 4.940256647349482, 98.43387997793474]"
0.05,3,13,1,"Number[2.5121552487328795, 0.003036629381081592, 0.0048356298530854965, 0.004536552233041314, 0.0075784989181839745, 0.20814508233261206]","[6.80510305969673, 0.01220661845256896, 0.012121904744636086, 0.00456436277339687, 0.20814508233261209, 0.007571728947447647]","[256.1225023888893, 4.945219633579156, 100.20688950326063]"
0.05,3,5,1,"Number[2.6266471881573086, 0.0026649939261847613, 0.005309112661418402, 0.004891895851238948, 0.007929974886985179, 0.1984055295951869]","[6.544471578553097, 0.012163877426615453, 0.011195193855524452, 0.004924765139403826, 0.1984055295951869, 0.007920740653248111]","[239.47711911505766, 5.202552276996246, 95.22202867901711]"
0.05,4,64,0,"Number[0.3351715322493896 + 1.019536910672861im, -0.006368400665504152 + 0.012128460391841423im, 0.008932217888625242 - 0.0012585689640081256im, 0.02412846617677679 + 0.0im, 0.004793444846047758 + 6.223015277861142e-61im, 0.19779374740968675 + 0.0im]","[6.588832577417833, 0.012442803697557563, 0.010983376443295105, 0.004606947889767491, 0.19779374740968683, 0.007676218654162837]","[246.0453397420738, 4.929676219809038, 100.13639926985633]"
0.05,4,64,0,"Number[2.59774976611069 - 0.49260301214856816im, 0.0031944390877539953 - 0.0016676219248601225im, 0.005309986213008287 - 0.002600250200121037im, 0.004756395097731099 + 0.0im, 0.007529826734044383 + 0.0im, 0.20517816512991024 + 0.0im]","[6.422181575370258, 0.01258973647100314, 0.011467609127252814, 0.004753282443429416, 0.20517816512991024, 0.007530726453340075]","[261.88863178956785, 4.772864280497023, 98.37650601565316]"
0.05,4,64,0,"Number[-0.8798737424922005 + 2.230707536419298im, 0.00046601664712107984 - 0.028929814279177044im, 0.0009354889279507477 + 0.022366557693361336im, 0.024031649773848994 + 1.608611746708759e-86im, 0.00519582685879761 + 2.4129176200631386e-86im, 0.21187697474085868 + 0.0im]","[6.398704216430668, 0.012277406018406285, 0.011991728500031813, 0.00476043693499816, 0.21187697474085868, 0.007840503419779595]","[240.50260203979423, 4.842139532369122, 100.23823494367224]"
0.05,4,64,0,"Number[0.30414706797659763 + 1.0189187201196048im, -0.005731711124730461 + 0.0121442227028637im, 0.008635685121809423 - 0.0013360630155565462im, 0.023565276983923442 - 7.778769097326427e-62im, 0.00469678964819109 + 7.778769097326427e-62im, 0.21240614299223498 + 0.0im]","[6.673230371961955, 0.011763466164799355, 0.01150233052755964, 0.004564503014541595, 0.2124061429922351, 0.007547554484931513]","[246.41374601367366, 5.032592512467358, 102.37045733541966]"
0.05,4,64,0,"Number[2.569851826452381 + 0.4740710687603956im, 0.0028106910599986572 + 0.0015331870280329983im, 0.00597022530196135 + 0.002844580286740114im, 0.02472149653089514 - 1.458519205748705e-62im, 0.004418795516756702 + 1.5557538194652854e-61im, 0.2095376235076367 + 0.0im]","[6.51548101513793, 0.01268542909080718, 0.011267472671227106, 0.00479823624667522, 0.20953762350763666, 0.007249759566050528]","[238.01588911515069, 4.760933013019339, 97.55664935448641]"
0.05,4,64,0,"Number[1.4654618419608114 + 2.0036468026590337im, 0.0024902915205493323 + 0.009851318175928199im, 0.006001641233876257 - 0.007238245498821229im, 0.005125469385058564 + 0.026506604905019538im, 0.0014953182785015548 - 0.0025607701806199053im, 0.21118602541782958 - 1.7686873200833423e-74im]","[6.702304339968714, 0.012332739043198138, 0.011482528737802925, 0.004498552325776577, 0.2111860254178296, 0.007455544292181647]","[252.81906643186926, 4.850889793212689, 100.6605003519833]"
0.05,4,64,0,"Number[-2.003281554182983 + 2.723805632412317im, 0.0004206330824165284 - 0.029240989413578496im, 0.0009207804562085144 + 0.02148313167939416im, 0.005378056856449462 - 0.027808596360725198im, -9.786811818087683e-5 + 0.003257589355680287im, 0.20284816646215195 + 0.0im]","[6.310356907132171, 0.012400965047584363, 0.011132010399646008, 0.004713490576773164, 0.20284816646215192, 0.007429312765368843]","[245.9017994318975, 5.112987799047922, 95.61738098363308]"
0.05,4,64,0,"Number[1.692631723577028 - 1.965933012296074im, 0.002488312598287616 - 0.009449360164520448im, 0.005938149253897146 + 0.006761682508440736im, 0.024917774514470248 + 9.115745035929407e-64im, 0.004357930821334821 - 7.596454196607839e-64im, 0.19931803244278784 + 0.0im]","[6.578367702043222, 0.011486439352162514, 0.011161646647196025, 0.004675378517079567, 0.19931803244278787, 0.0076523998835583504]","[257.59030602694065, 5.027664333585388, 96.96724178550008]"
0.05,4,64,0,"Number[-0.575024034072884 - 0.42874470336417286im, -0.008685503837478558 - 0.0226442196702181im, 0.011352186994788165 + 0.01360426746622154im, 0.00491236387032854 + 0.02561363964081075im, 0.0017066175429379371 - 0.002562258619431466im, 0.20282513603097263 + 0.0im]","[6.831163059451702, 0.011906812300956363, 0.011094490289054702, 0.004693845765895453, 0.20282513603097266, 0.00748011554705063]","[248.09141914894397, 5.073298598278937, 103.90689705586016]"
0.05,4,64,0,"Number[1.6853712618304697 - 0.9653788896233663im, 0.000473220193165621 - 0.0046504468804278365im, 0.0009733142266999307 - 0.007958413407895503im, 0.005420859712520331 - 0.027910502570587716im, 0.0008202674308521664 + 0.003020713843757481im, 0.2003560202794216 + 0.0im]","[6.641965118345209, 0.012376685469075997, 0.012073096950834984, 0.004531103505522592, 0.2003560202794216, 0.007944417036659275]","[258.6807771525874, 4.955771124630369, 95.52742797488885]"
0.05,4,64,0,"Number[4.0888441387249825 - 1.8149209663103953im, 0.009639013713778871 - 0.0053094821875501715im, -0.002893322829474231 + 0.012179984498316709im, 0.004903836165649505 + 0.025475615235170824im, 0.0020233808236033504 - 0.0024328272806717404im, 0.19557779098584077 + 0.0im]","[6.491561590739533, 0.011528480220052791, 0.011890750905609825, 0.004514701259101221, 0.19557779098584083, 0.0075936149351254955]","[252.11455614002884, 4.981475590107561, 104.66360605504296]"
