param_set,taylor_n,num_solutions,num_real_solutions,true_parameters,pred_parameters
33,1,1,1,"[7.081555488257474, 0.010460173387316116, 0.009035039098339498, 0.005765858499538095, 0.21973171309737113, 0.007527502851947533]","[2.71717507794556, 0.003304977446686185, 0.0009650085443421283, 0.004357846063213322, 0.21973171309737113, 0.007647612009793752]"
34,1,1,1,"[7.255814283070281, 0.01182366528085477, 0.00946070128486079, 0.004475438476316514, 0.16102505078613946, 0.006904239010428007]","[2.6144331012688915, 0.0035282310982506894, 0.0006187650055866217, 0.003588924186382054, 0.16102505078613952, 0.006999808658675979]"
35,1,1,1,"[6.106746192904443, 0.009181939243829453, 0.01180693462637665, 0.005138778665408804, 0.2492421793049684, 0.007639569342384718]","[2.208829346691958, 0.0026623621606964095, 0.002489101391218052, 0.003996757315848099, 0.24924217930496842, 0.007747210445669393]"
36,1,1,1,"[6.567310085469063, 0.012364644846500784, 0.012870306627694086, 0.0038428888623311076, 0.24432045952366863, 0.008438372513884218]","[2.100091361649333, 0.0029812023048920774, 0.002154598065458286, 0.0031756048246064207, 0.24432045952366865, 0.008513614085524267]"
37,1,1,1,"[5.881992554855935, 0.013230824122947762, 0.01017455607858227, 0.005055707927838542, 0.21391291831704504, 0.0068982326962648685]","[2.329422321702119, 0.003198552670514497, 0.0016695137624956038, 0.00394653664780391, 0.213912918317045, 0.0070074896025826465]"
38,1,1,1,"[6.800394432899887, 0.01247521577001581, 0.01289396712611082, 0.004137969232412981, 0.17923826148687985, 0.00886472961384833]","[2.1249305173485635, 0.0030465158071661257, 0.001994008917151143, 0.003372510743645493, 0.1792382614868798, 0.0089454159542501]"
39,1,1,1,"[6.267696321912104, 0.012104697232049641, 0.012286284625206482, 0.004933887439579009, 0.15799258498454846, 0.00916202588107796]","[2.1235774482808476, 0.0029789663587785594, 0.002133595242532051, 0.0038752217813485135, 0.15799258498454846, 0.009258223284511804]"
40,1,1,1,"[4.965122832405764, 0.013550889057522851, 0.013297255979743829, 0.005132541158968652, 0.2252774874009154, 0.008200917457691975]","[1.748273128141842, 0.002721660255536929, 0.0029420098986959694, 0.003993608103776701, 0.2252774874009153, 0.008305643310691939]"
41,1,1,1,"[6.98115551684737, 0.011059056808838398, 0.01096057087551152, 0.005798862416068814, 0.19188516055721902, 0.008194119071271941]","[2.4773875011410422, 0.00309080220282578, 0.0016797960685454067, 0.004377046032721085, 0.19188516055721905, 0.00831078574132432]"
42,1,1,1,"[7.745040241625919, 0.009395605200774924, 0.010738803003526165, 0.004447189812627253, 0.19689837516656222, 0.00675067632041102]","[2.622412972988444, 0.0030341340272082643, 0.0014512188120280856, 0.003570843827153776, 0.19689837516656228, 0.006846237936292646]"
43,1,1,1,"[7.620826062229357, 0.012596848362742146, 0.014098026232581422, 0.0045107008536351394, 0.21043345958897258, 0.00840071703418372]","[2.1496895968642615, 0.0029969105337056844, 0.0021364694777559925, 0.003612378080934447, 0.21043345958897247, 0.008491516629128885]"
44,1,1,1,"[5.570979808248683, 0.013426250261769041, 0.011580231228025217, 0.005394117368447722, 0.20180399573264038, 0.0068528724142691445]","[2.105769684181004, 0.0029615121098954572, 0.0023065780419239163, 0.004145757789566879, 0.20180399573264038, 0.006969525338911907]"
45,1,1,1,"[7.5439388679399695, 0.014073132458029436, 0.012325849229302516, 0.005671055767037452, 0.16155487790351708, 0.008293320801668704]","[2.3754383418676737, 0.0032842077119889165, 0.0015149577900761498, 0.004305579430796844, 0.16155487790351708, 0.008407189653261678]"
46,1,1,1,"[6.98236168375788, 0.011932680609829946, 0.012354353377790693, 0.0058509534730154765, 0.21312446553980793, 0.008415863763514674]","[2.3216919445144844, 0.0029819953869555473, 0.0021023409511071105, 0.0044062185528668755, 0.21312446553980796, 0.008532133708987992]"
47,1,1,1,"[6.5936093885225695, 0.012104051113898963, 0.010658656516298775, 0.004630724347196348, 0.25605694821644487, 0.0070976564581751115]","[2.41180398849933, 0.003184859943892648, 0.0015810765523269154, 0.0036867620798792266, 0.2560569482164448, 0.007196493844759332]"
48,1,1,1,"[8.19910471764612, 0.009939184369384478, 0.010874372952903081, 0.005278945531270525, 0.16494351367998683, 0.008415997850056233]","[2.6825654692542447, 0.003161808557900679, 0.001236831213685385, 0.004080290164515651, 0.16494351367998686, 0.008522269442345335]"
49,1,1,1,"[7.118208269774389, 0.013691462013001292, 0.009671907259368786, 0.004145781806387207, 0.23720684290053262, 0.00689409080187802]","[2.544328533362678, 0.0036715992218106564, 0.00047408915938752447, 0.0033762908690906147, 0.2372068429005326, 0.006981692267606324]"
50,1,1,1,"[5.579604914043721, 0.012148170296665966, 0.010351609956861742, 0.003570428144838328, 0.16936286146588614, 0.009189066413435122]","[2.1667677846231204, 0.003134917258714837, 0.0017239180483045594, 0.0029892860615445844, 0.16936286146588614, 0.009255509206828064]"
51,1,1,1,"[7.522302877418577, 0.012936704782155023, 0.01038250354235866, 0.00427820190641092, 0.156172370321283, 0.007977497828519047]","[2.5355511952282046, 0.003566644310593093, 0.0006695923955931587, 0.0034633319682445306, 0.15617237032128295, 0.008064406630847544]"
52,1,1,1,"[7.875866007563948, 0.012369187753037419, 0.008960875018138088, 0.0043459610322643585, 0.2416060940088652, 0.009321164886166666]","[2.7059709591734653, 0.0038950840291873306, -0.00027702424582997916, 0.003507965407906384, 0.24160609400886526, 0.009405030447094537]"
53,1,1,1,"[5.627519640469609, 0.014192696920652826, 0.01197240103125936, 0.00542043576358685, 0.22384090862819966, 0.006488113356935676]","[2.0875286886030064, 0.002942922584188166, 0.002408390831858312, 0.004160575136323404, 0.22384090862819964, 0.006607308783729245]"
54,1,1,1,"[5.33292053820531, 0.013456771801994465, 0.014000252676576827, 0.0058264105227894625, 0.2561121351800903, 0.006803982996434159]","[1.80426598118288, 0.0026362190848554174, 0.0031573418253271262, 0.00439066181422527, 0.25611213518009035, 0.006929594091306156]"
55,1,1,1,"[7.82434707402412, 0.013646171822020717, 0.009144663945922015, 0.004768674437125702, 0.1764901835812206, 0.0063035818670803025]","[2.641912337200486, 0.004035717716384666, -0.0004808266980470738, 0.003771723359561639, 0.17649018358122057, 0.006408724828477599]"
56,1,1,1,"[8.22668910912632, 0.01178072038307888, 0.009403810159166071, 0.005345628936891786, 0.16864769956661668, 0.008892508696196325]","[2.7432047581987575, 0.0037740503482840823, -5.099595672268105e-5, 0.004119732821328305, 0.16864769956661665, 0.008997577297290978]"
57,1,1,1,"[7.290890724227625, 0.014711402690501994, 0.012389919550446722, 0.005501858977644381, 0.23780676030724354, 0.0065381388224077935]","[2.3534394719145593, 0.0032214465834005898, 0.0017195433870408302, 0.004207437980371303, 0.23780676030724354, 0.0066588205870995645]"
58,1,1,1,"[6.148220939657348, 0.010897779108764202, 0.011314882311948462, 0.003579146358508549, 0.21117876991458068, 0.005748688984749778]","[2.179929209322878, 0.002994890584588438, 0.0019161551332015194, 0.002993548706055653, 0.21117876991458065, 0.005824307787875256]"
59,1,1,1,"[5.390239569163156, 0.014767891873257416, 0.014296635812806343, 0.004374712762444906, 0.20415227641404554, 0.007576234799686455]","[1.684437204792669, 0.0028079842777728003, 0.0027891178438362607, 0.0035251769895161674, 0.20415227641404554, 0.0076669962448725525]"
60,1,1,1,"[6.955403478981191, 0.010766670195396306, 0.010351757585733297, 0.0035886669629090076, 0.17576949407068496, 0.007613923383067447]","[2.4617092462172483, 0.0032158170825637425, 0.0012804116105653446, 0.0030011310194704133, 0.175769494070685, 0.0076848956133036255]"
61,1,1,1,"[6.207250096911151, 0.012457560637943373, 0.014125240369114465, 0.00396093353536495, 0.1816997989646608, 0.007542336118489025]","[1.8379830742645147, 0.002872987200145533, 0.0024523209736853763, 0.003254423935500152, 0.18169979896466085, 0.007623022875251785]"
62,1,1,1,"[5.139705738210722, 0.013323921127374964, 0.009932737440784385, 0.003923357155045423, 0.24379447215695416, 0.009487510311200757]","[2.166239483977975, 0.0031112353458001103, 0.0019076928642754467, 0.0032304272415564625, 0.24379447215695416, 0.009561508719098156]"
63,1,1,1,"[7.807656967274859, 0.014568418539052896, 0.009065829454649704, 0.004645884753144727, 0.2510013002407923, 0.006256629440416609]","[2.592829473067741, 0.004219307343845656, -0.000866891162271689, 0.0036955450141448122, 0.2510013002407922, 0.006359221795356814]"
64,1,1,1,"[7.09175649381077, 0.012527750512141047, 0.01148796500011574, 0.0038949327579545926, 0.15890522537391885, 0.006638634429142369]","[2.332470358934272, 0.0032801386243253216, 0.0013790832640768733, 0.003209665327212454, 0.15890522537391885, 0.0067203056659422]"
65,1,1,1,"[6.735009842909911, 0.013694674033479345, 0.012541989615126167, 0.004243112923240343, 0.22074825495625966, 0.0088854091093178]","[2.1844719374806068, 0.003115967167023269, 0.001923387335485037, 0.0034411781919753523, 0.22074825495625958, 0.008968508325328226]"
66,1,1,1,"[5.06764462225274, 0.01438537062699836, 0.009198071037071364, 0.004791050828072182, 0.15678164729955132, 0.006574747529599949]","[2.2348222525482333, 0.0032531417667347917, 0.0016192754248714263, 0.0037857332058439386, 0.1567816472995513, 0.0066792115223484804]"
67,1,1,1,"[6.082480558654848, 0.013883290349921985, 0.011227043475072477, 0.004380396954456852, 0.19526531750632609, 0.006233072192518795]","[2.208623586357991, 0.003181502870451072, 0.0017676206840050632, 0.0035278390587929736, 0.1952653175063261, 0.006328868554996281]"
68,1,1,1,"[7.261964461907834, 0.014014812568151909, 0.013957279082816503, 0.004914638032349032, 0.2151902188283326, 0.006905060618310467]","[2.129131050112635, 0.0030146929492341767, 0.0022091376739212564, 0.003861482179415789, 0.2151902188283326, 0.007011135435727815]"
69,1,1,1,"[7.320651315159269, 0.014790102206245978, 0.014367294695744461, 0.004009171437723714, 0.2446038508341148, 0.007973273185559543]","[2.064296004300106, 0.0030408930916274736, 0.002188838078563493, 0.0032868030226703726, 0.24460385083411484, 0.008053980671481971]"
70,1,1,1,"[5.112011947418128, 0.011810366116229369, 0.009383867625846965, 0.00467378094472021, 0.2190415450698498, 0.007964917622395536]","[2.238902720713124, 0.0030489653268512694, 0.0019112213768540465, 0.0037143364562601624, 0.21904154506984969, 0.008061079575200624]"
71,1,1,1,"[5.811291028589626, 0.011780664787465254, 0.014384425173421735, 0.005061573403430123, 0.2263612790686893, 0.006193450803077017]","[1.7935230134558764, 0.0026717374185754794, 0.0029162774513558924, 0.003949377262769048, 0.22636127906868925, 0.006306188584219996]"
72,1,1,1,"[5.562174991659607, 0.014737669291315418, 0.008722695642651065, 0.004737455629799289, 0.21123167702837858, 0.009408715970443602]","[2.4136308287285657, 0.0034627492414414105, 0.0011012302580861784, 0.0037550482053908046, 0.21123167702837867, 0.009500191863004052]"
73,1,1,1,"[6.567654942326609, 0.009613262711286014, 0.01432603871176114, 0.003826808382297846, 0.2534613505293681, 0.006750308758901541]","[1.909886415220267, 0.0026366494916752314, 0.0026662392533716526, 0.0031637377018770784, 0.2534613505293682, 0.006830093118128744]"
74,1,1,1,"[6.608282533433615, 0.01123726748154433, 0.011997046197459192, 0.00513475061848168, 0.1795660325545237, 0.007336910627821292]","[2.244506298518084, 0.0029648919065258916, 0.0020533635719417473, 0.003994123366495443, 0.17956603255452364, 0.007445671737904513]"
75,1,1,1,"[7.768785742706391, 0.010132035847817295, 0.009645594847189506, 0.004183760613397157, 0.2481887911451675, 0.009347169148628622]","[2.742412396366219, 0.0033028329498293748, 0.0008853947695852078, 0.0034027982886018684, 0.24818879114516743, 0.009427443186076998]"
76,1,1,1,"[5.610971083742504, 0.010981856199551453, 0.01369632056709386, 0.004966442900351172, 0.23576107764967952, 0.005818386162665411]","[1.8301886079558427, 0.00265076225490446, 0.002872623669216141, 0.0038918543511317085, 0.23576107764967946, 0.0059306434309281545]"
77,1,1,1,"[7.0751345518035205, 0.01275170831951827, 0.012645537008410455, 0.00585427083675415, 0.22832170726129183, 0.007606442251868119]","[2.308488413112654, 0.0030110956130075107, 0.002115219079276883, 0.004407077667944931, 0.22832170726129186, 0.007727654822440068]"
78,1,1,1,"[6.008351887929902, 0.013310664699186518, 0.009052600762367472, 0.005463610136697537, 0.1553267456859388, 0.009014069332346306]","[2.469548030273652, 0.0034289518476409344, 0.0010745987072855257, 0.00418818581773319, 0.15532674568593882, 0.009120482866669515]"
79,1,1,1,"[6.2582601613308375, 0.013219336299811077, 0.014041026288343837, 0.005390179147665885, 0.2208865837306619, 0.006598959235233445]","[1.9548691066092867, 0.0028000527036129196, 0.002711285267641174, 0.0041431980678506685, 0.22088658373066192, 0.006716926798614981]"
80,1,1,1,"[7.342682288818149, 0.011540757594851738, 0.014216037814652678, 0.0049470523518531425, 0.1588005459927015, 0.006734921662674085]","[2.076559397222683, 0.0028894447826954845, 0.0022998540719603804, 0.0038810165053542118, 0.15880054599270158, 0.006842308444097079]"
81,1,1,1,"[7.047864846656147, 0.010035478948018138, 0.014394401857537206, 0.0040336552500581, 0.21444502565610368, 0.007737317595906724]","[1.9857610689394949, 0.0027300177880507977, 0.002490411538306499, 0.0033029271335621125, 0.21444502565610365, 0.007819288969084527]"
82,1,1,1,"[7.9519855068753404, 0.012186357186428128, 0.01402510836324842, 0.004767267673554709, 0.18520716725517086, 0.008142754395510383]","[2.211983733414381, 0.0030213157149707962, 0.002026493329561433, 0.003772409200760241, 0.18520716725517086, 0.00824010177858405]"
83,1,1,1,"[6.799025909714091, 0.013662048392068426, 0.009306951438729047, 0.005810238553286986, 0.17688750785634344, 0.009480885875604387]","[2.564806576564401, 0.0036384710604547175, 0.0005603765129139268, 0.004384901373321684, 0.17688750785634347, 0.009590108758786329]"
84,1,1,1,"[6.230188057293438, 0.013293824466636371, 0.010925705636070187, 0.004135533646542672, 0.21977766403030577, 0.009145059421132811]","[2.2799936643395267, 0.00321122072608321, 0.0016417980365510843, 0.0033710768815202415, 0.21977766403030566, 0.009224862833861685]"
85,1,1,1,"[5.349280987380378, 0.009341176245475903, 0.009864101008971568, 0.0043791866007456305, 0.20526984460017184, 0.007036416969104569]","[2.221120129546835, 0.0028168263761238627, 0.0020887223368607146, 0.0035276471130229426, 0.20526984460017186, 0.007129267616829544]"
86,1,1,1,"[7.941575144241994, 0.014681461125226376, 0.009509086327544925, 0.004425127050151094, 0.1731405487628274, 0.007556186203499218]","[2.608150484970218, 0.004102016644002865, -0.0005546681254961458, 0.0035574098435172574, 0.17314054876282736, 0.007648128038003414]"
87,1,1,1,"[6.166419016872244, 0.01440138676331882, 0.009907749751924558, 0.005203862164283693, 0.22895725706910242, 0.009144025246159744]","[2.4221689089982696, 0.003377497408149499, 0.0012980721961549765, 0.004036791228285316, 0.22895725706910244, 0.009245520169626577]"
88,1,1,1,"[6.367673307443757, 0.014019124751357935, 0.013332503009986237, 0.004366637660170938, 0.2330548395855973, 0.00691372597281362]","[2.0248868512210443, 0.0029706340981688504, 0.002324271212373346, 0.0035194979258681832, 0.23305483958559736, 0.00700680306964537]"
89,1,1,1,"[6.089576589340137, 0.009672089038412301, 0.010113479173514807, 0.004627094076234592, 0.16685296345732656, 0.008737479153456327]","[2.365143585281719, 0.0029395065637275145, 0.0018168360001026146, 0.0036858723274071767, 0.1668529634573266, 0.008829339727131093]"
90,1,1,1,"[5.810843063517317, 0.01301959772047493, 0.012417085086700284, 0.003734038232750565, 0.2391473705650402, 0.007015019140557688]","[1.9917196768522147, 0.0029665637939969318, 0.0022583842396734356, 0.003100821439839458, 0.23914737056504018, 0.0070915524444559635]"
91,1,1,1,"[6.58119184017851, 0.01331193790599896, 0.012357514433199527, 0.005022314013377695, 0.16105243411343334, 0.007715821269505726]","[2.182120793046956, 0.003088789790820845, 0.001963670476884667, 0.003927300171828354, 0.1610524341134334, 0.00782038264692446]"
92,1,1,1,"[5.6255710456044845, 0.013585087134982394, 0.01409142754736982, 0.004578751889490107, 0.22120840803368397, 0.007754419631513139]","[1.7757090514192184, 0.002786592815737514, 0.0027742016775687823, 0.0036547584874027815, 0.22120840803368408, 0.007849305692013064]"
93,1,1,1,"[6.835251049967553, 0.012286697393367818, 0.012334713231906323, 0.0056693523572322255, 0.1958215742777876, 0.008050435094997727]","[2.2786503925642108, 0.003009128105187177, 0.0020722536434841796, 0.004304320416282056, 0.19582157427778762, 0.008165768038334766]"
94,1,1,1,"[6.739754393108725, 0.009723199795891981, 0.01130279367271314, 0.005275465862290159, 0.20743257750968264, 0.00945083908768752]","[2.395763033033375, 0.0028652335738769503, 0.002037738811674266, 0.004079262625550931, 0.20743257750968253, 0.009551984252768892]"
95,1,1,1,"[6.178104321037805, 0.014395619749077432, 0.011580725088983407, 0.00456062174247486, 0.22295520454878648, 0.006647834104822709]","[2.2081880869762656, 0.0031530060869109384, 0.0018771093276829616, 0.003642489622780059, 0.2229552045487865, 0.006746664419662157]"
96,1,1,1,"[5.278769621994295, 0.014126028065762769, 0.013745870279404212, 0.00412005878731537, 0.2222164889436784, 0.00811552147272145]","[1.7208159957243188, 0.002818347344443448, 0.002727088332219314, 0.0033602232924302305, 0.22221648894367846, 0.008198385888722537]"
97,1,1,1,"[6.7974114960669185, 0.012374030521135625, 0.013099824314471589, 0.0047158917522700135, 0.252810638428235, 0.005972949374666653]","[2.156971772080434, 0.002935298600434137, 0.002276197322095625, 0.0037388008046658973, 0.252810638428235, 0.006078454403440307]"
98,1,1,1,"[5.976034431148206, 0.009594292041878873, 0.012193342699091904, 0.0047756466484568895, 0.1703133725974953, 0.008983114492662451]","[2.069895189956962, 0.0027341134381513726, 0.002389848686989881, 0.0037782957082025666, 0.17031337259749524, 0.009077027291569683]"
99,1,1,1,"[7.019799518360344, 0.011172540942386516, 0.008898683657737294, 0.0047717822598489145, 0.17756972365728638, 0.007243874692731914]","[2.663832876290284, 0.003465956979330588, 0.0006724188082541881, 0.0037744339484790646, 0.1775697236572864, 0.007345108724136482]"
100,1,1,1,"[6.587729494207602, 0.013898055578311457, 0.011266573743875165, 0.005751142385905669, 0.20168759539512812, 0.008482679815383896]","[2.363146874105133, 0.003210838742110033, 0.001693016773975648, 0.00435074508039322, 0.2016875953951282, 0.008596924920043984]"
1,2,8,0,"[7.540049395250997, 0.009625767341635016, 0.010292656950340913, 0.005396673830390832, 0.2112438604918186, 0.008841281671914721]",
2,2,8,0,"[7.234692797666877, 0.011102574371423642, 0.011173096926522262, 0.003795586545838597, 0.19696943693532443, 0.009132998612337252]",
3,2,8,0,"[8.124414631507523, 0.013296128062366196, 0.010138341940810234, 0.00504866083442344, 0.1693627806232393, 0.007821092825203201]",
4,2,8,0,"[6.52337014495481, 0.011853858481330491, 0.009270192983649346, 0.005424881425820791, 0.16551658768647431, 0.005743428095472476]",
5,2,8,0,"[5.349496696077116, 0.013214325378416995, 0.010300340766905305, 0.004396154869040357, 0.22867472149908644, 0.007073798491524768]",
6,2,8,0,"[7.199015722055437, 0.01041933944551836, 0.012733797869361407, 0.005441850646851433, 0.21629622513003233, 0.006221709953275398]",
7,2,8,0,"[6.171960083221835, 0.01467259835149079, 0.014292962204485851, 0.004608669568748206, 0.17848968372237248, 0.00913790964352339]",
8,2,8,0,"[8.233031686891632, 0.012538101159311768, 0.011192906655309677, 0.004524593121735421, 0.21938533958341178, 0.006652298447601628]",
