param_set,taylor_degree,true_parameters,pred_parameters
5,5,"[6.832043760583649, 0.014478609225387466, 0.008949544105300364, 0.004905842834693627, 0.21284186898088503, 0.009155066392337407]","[2.8818906010301464, 0.003983890490143534, 0.006767306234727976, 0.004699744735363736, 0.007629096839143213, 0.2055]"
5,6,"[6.832043760583649, 0.014478609225387466, 0.008949544105300364, 0.004905842834693627, 0.21284186898088503, 0.009155066392337407]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,7,"[6.832043760583649, 0.014478609225387466, 0.008949544105300364, 0.004905842834693627, 0.21284186898088503, 0.009155066392337407]","[3.281856154198917, 0.005088853236754114, 0.008435414336642733, 0.00469999892786997, 0.007629000544887018, 0.2055]"
6,1,"[5.594375308935244, 0.014152694895538703, 0.009517032550618365, 0.00550218409066178, 0.20732358140268412, 0.008222060910399911]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956896, 0.2055]"
6,2,"[5.594375308935244, 0.014152694895538703, 0.009517032550618365, 0.00550218409066178, 0.20732358140268412, 0.008222060910399911]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,3,"[5.594375308935244, 0.014152694895538703, 0.009517032550618365, 0.00550218409066178, 0.20732358140268412, 0.008222060910399911]","[2.536283655108441, 0.002904890599537024, 0.004980616635739675, 0.0046686769744327065, 0.0076366293339022355, 0.2055]"
6,4,"[5.594375308935244, 0.014152694895538703, 0.009517032550618365, 0.00550218409066178, 0.20732358140268412, 0.008222060910399911]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,5,"[5.594375308935244, 0.014152694895538703, 0.009517032550618365, 0.00550218409066178, 0.20732358140268412, 0.008222060910399911]","[2.8818906010301455, 0.003983890490143532, 0.006767306234727977, 0.004699744735363736, 0.007629096839143214, 0.2055]"
6,6,"[5.594375308935244, 0.014152694895538703, 0.009517032550618365, 0.00550218409066178, 0.20732358140268412, 0.008222060910399911]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,7,"[5.594375308935244, 0.014152694895538703, 0.009517032550618365, 0.00550218409066178, 0.20732358140268412, 0.008222060910399911]","[3.2818561541989144, 0.005088853236754107, 0.008435414336642732, 0.00469999892786997, 0.007629000544887018, 0.2055]"
7,1,"[6.45601086652187, 0.010731517673089275, 0.008767899316888034, 0.005827324215132355, 0.22247834450810025, 0.0071813204136332775]","[2.2896757395491107, 0.0018267801166781657, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956893, 0.2055]"
7,2,"[6.45601086652187, 0.010731517673089275, 0.008767899316888034, 0.005827324215132355, 0.22247834450810025, 0.0071813204136332775]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,3,"[6.45601086652187, 0.010731517673089275, 0.008767899316888034, 0.005827324215132355, 0.22247834450810025, 0.0071813204136332775]","[2.536283655108441, 0.002904890599537025, 0.004980616635739674, 0.0046686769744327065, 0.007636629333902234, 0.2055]"
7,4,"[6.45601086652187, 0.010731517673089275, 0.008767899316888034, 0.005827324215132355, 0.22247834450810025, 0.0071813204136332775]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,5,"[6.45601086652187, 0.010731517673089275, 0.008767899316888034, 0.005827324215132355, 0.22247834450810025, 0.0071813204136332775]","[2.8818906010301464, 0.003983890490143534, 0.006767306234727978, 0.004699744735363735, 0.007629096839143224, 0.2055]"
7,6,"[6.45601086652187, 0.010731517673089275, 0.008767899316888034, 0.005827324215132355, 0.22247834450810025, 0.0071813204136332775]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,7,"[6.45601086652187, 0.010731517673089275, 0.008767899316888034, 0.005827324215132355, 0.22247834450810025, 0.0071813204136332775]","[3.2818561541989086, 0.005088853236754089, 0.008435414336642744, 0.00469999892786997, 0.007629000544887014, 0.2055]"
8,1,"[8.083049488012442, 0.011768325494722596, 0.009428803053103285, 0.0044431279592429315, 0.1850325703236932, 0.008707041844568168]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956895, 0.2055]"
8,2,"[8.083049488012442, 0.011768325494722596, 0.009428803053103285, 0.0044431279592429315, 0.1850325703236932, 0.008707041844568168]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,3,"[8.083049488012442, 0.011768325494722596, 0.009428803053103285, 0.0044431279592429315, 0.1850325703236932, 0.008707041844568168]","[2.536283655108442, 0.0029048905995370244, 0.004980616635739675, 0.0046686769744327065, 0.007636629333902234, 0.2055]"
8,4,"[8.083049488012442, 0.011768325494722596, 0.009428803053103285, 0.0044431279592429315, 0.1850325703236932, 0.008707041844568168]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,5,"[8.083049488012442, 0.011768325494722596, 0.009428803053103285, 0.0044431279592429315, 0.1850325703236932, 0.008707041844568168]","[2.8818906010301455, 0.003983890490143531, 0.006767306234727973, 0.004699744735363736, 0.007629096839143215, 0.2055]"
8,6,"[8.083049488012442, 0.011768325494722596, 0.009428803053103285, 0.0044431279592429315, 0.1850325703236932, 0.008707041844568168]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,7,"[8.083049488012442, 0.011768325494722596, 0.009428803053103285, 0.0044431279592429315, 0.1850325703236932, 0.008707041844568168]","[3.2818561541989144, 0.005088853236754108, 0.008435414336642737, 0.00469999892786997, 0.007629000544887018, 0.2055]"
9,1,"[7.8463360196574525, 0.010492912443837127, 0.013603139042683716, 0.005339243833059958, 0.22874406556550358, 0.007597253083308476]","[2.2896757395491107, 0.0018267801166781665, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956895, 0.2055]"
9,2,"[7.8463360196574525, 0.010492912443837127, 0.013603139042683716, 0.005339243833059958, 0.22874406556550358, 0.007597253083308476]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,3,"[7.8463360196574525, 0.010492912443837127, 0.013603139042683716, 0.005339243833059958, 0.22874406556550358, 0.007597253083308476]","[2.536283655108442, 0.0029048905995370266, 0.004980616635739674, 0.004668676974432707, 0.007636629333902228, 0.2055]"
9,4,"[7.8463360196574525, 0.010492912443837127, 0.013603139042683716, 0.005339243833059958, 0.22874406556550358, 0.007597253083308476]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,5,"[7.8463360196574525, 0.010492912443837127, 0.013603139042683716, 0.005339243833059958, 0.22874406556550358, 0.007597253083308476]","[2.881890601030145, 0.003983890490143533, 0.006767306234727977, 0.004699744735363735, 0.007629096839143223, 0.2055]"
9,6,"[7.8463360196574525, 0.010492912443837127, 0.013603139042683716, 0.005339243833059958, 0.22874406556550358, 0.007597253083308476]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,7,"[7.8463360196574525, 0.010492912443837127, 0.013603139042683716, 0.005339243833059958, 0.22874406556550358, 0.007597253083308476]","[3.2818561541989144, 0.005088853236754108, 0.008435414336642735, 0.00469999892786997, 0.007629000544887014, 0.2055]"
10,1,"[6.581810393527354, 0.014339167587050193, 0.014361312726160516, 0.005373399038871879, 0.18757179369108057, 0.008364767125451927]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956894, 0.2055]"
10,2,"[6.581810393527354, 0.014339167587050193, 0.014361312726160516, 0.005373399038871879, 0.18757179369108057, 0.008364767125451927]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,3,"[6.581810393527354, 0.014339167587050193, 0.014361312726160516, 0.005373399038871879, 0.18757179369108057, 0.008364767125451927]","[2.5362836551084404, 0.002904890599537023, 0.004980616635739676, 0.004668676974432707, 0.00763662933390223, 0.2055]"
10,4,"[6.581810393527354, 0.014339167587050193, 0.014361312726160516, 0.005373399038871879, 0.18757179369108057, 0.008364767125451927]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,5,"[6.581810393527354, 0.014339167587050193, 0.014361312726160516, 0.005373399038871879, 0.18757179369108057, 0.008364767125451927]","[2.8818906010301504, 0.003983890490143547, 0.006767306234727969, 0.004699744735363736, 0.007629096839143216, 0.2055]"
10,6,"[6.581810393527354, 0.014339167587050193, 0.014361312726160516, 0.005373399038871879, 0.18757179369108057, 0.008364767125451927]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,7,"[6.581810393527354, 0.014339167587050193, 0.014361312726160516, 0.005373399038871879, 0.18757179369108057, 0.008364767125451927]","[3.281856154198917, 0.005088853236754112, 0.008435414336642733, 0.00469999892786997, 0.007629000544887015, 0.2055]"
11,1,"[5.012870119414637, 0.01376999517606801, 0.01388783450099158, 0.005486561318802437, 0.21360714028437117, 0.005733859845550367]","[2.289675739549111, 0.0018267801166781665, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956892, 0.2055]"
11,2,"[5.012870119414637, 0.01376999517606801, 0.01388783450099158, 0.005486561318802437, 0.21360714028437117, 0.005733859845550367]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,3,"[5.012870119414637, 0.01376999517606801, 0.01388783450099158, 0.005486561318802437, 0.21360714028437117, 0.005733859845550367]","[2.536283655108441, 0.002904890599537024, 0.004980616635739675, 0.0046686769744327065, 0.007636629333902235, 0.2055]"
11,4,"[5.012870119414637, 0.01376999517606801, 0.01388783450099158, 0.005486561318802437, 0.21360714028437117, 0.005733859845550367]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,5,"[5.012870119414637, 0.01376999517606801, 0.01388783450099158, 0.005486561318802437, 0.21360714028437117, 0.005733859845550367]","[2.8818906010301455, 0.003983890490143529, 0.006767306234727972, 0.004699744735363736, 0.007629096839143216, 0.2055]"
11,6,"[5.012870119414637, 0.01376999517606801, 0.01388783450099158, 0.005486561318802437, 0.21360714028437117, 0.005733859845550367]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,7,"[5.012870119414637, 0.01376999517606801, 0.01388783450099158, 0.005486561318802437, 0.21360714028437117, 0.005733859845550367]","[3.2818561541989126, 0.005088853236754102, 0.00843541433664273, 0.00469999892786997, 0.007629000544887017, 0.2055]"
12,1,"[7.6619461097136305, 0.012954986326981013, 0.011083619502192952, 0.00519974761277567, 0.21352295154919268, 0.007712018493151994]","[2.289675739549111, 0.0018267801166781663, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956894, 0.2055]"
12,2,"[7.6619461097136305, 0.012954986326981013, 0.011083619502192952, 0.00519974761277567, 0.21352295154919268, 0.007712018493151994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,3,"[7.6619461097136305, 0.012954986326981013, 0.011083619502192952, 0.00519974761277567, 0.21352295154919268, 0.007712018493151994]","[2.5362836551084413, 0.0029048905995370236, 0.0049806166357396755, 0.004668676974432707, 0.007636629333902228, 0.2055]"
12,4,"[7.6619461097136305, 0.012954986326981013, 0.011083619502192952, 0.00519974761277567, 0.21352295154919268, 0.007712018493151994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,5,"[7.6619461097136305, 0.012954986326981013, 0.011083619502192952, 0.00519974761277567, 0.21352295154919268, 0.007712018493151994]","[2.881890601030147, 0.003983890490143534, 0.0067673062347279765, 0.004699744735363736, 0.007629096839143217, 0.2055]"
12,6,"[7.6619461097136305, 0.012954986326981013, 0.011083619502192952, 0.00519974761277567, 0.21352295154919268, 0.007712018493151994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,7,"[7.6619461097136305, 0.012954986326981013, 0.011083619502192952, 0.00519974761277567, 0.21352295154919268, 0.007712018493151994]","[3.281856154198914, 0.0050888532367541085, 0.008435414336642726, 0.00469999892786997, 0.007629000544887018, 0.2055]"
13,1,"[6.475225924609895, 0.014546280375706759, 0.01124998804540318, 0.005644120525342841, 0.15641513315152233, 0.009347490441004214]","[2.2896757395491107, 0.0018267801166781663, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956896, 0.2055]"
13,2,"[6.475225924609895, 0.014546280375706759, 0.01124998804540318, 0.005644120525342841, 0.15641513315152233, 0.009347490441004214]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,3,"[6.475225924609895, 0.014546280375706759, 0.01124998804540318, 0.005644120525342841, 0.15641513315152233, 0.009347490441004214]","[2.536283655108442, 0.0029048905995370266, 0.004980616635739672, 0.004668676974432707, 0.00763662933390223, 0.2055]"
13,4,"[6.475225924609895, 0.014546280375706759, 0.01124998804540318, 0.005644120525342841, 0.15641513315152233, 0.009347490441004214]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,5,"[6.475225924609895, 0.014546280375706759, 0.01124998804540318, 0.005644120525342841, 0.15641513315152233, 0.009347490441004214]","[2.881890601030146, 0.003983890490143534, 0.006767306234727974, 0.004699744735363736, 0.007629096839143217, 0.2055]"
13,6,"[6.475225924609895, 0.014546280375706759, 0.01124998804540318, 0.005644120525342841, 0.15641513315152233, 0.009347490441004214]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,7,"[6.475225924609895, 0.014546280375706759, 0.01124998804540318, 0.005644120525342841, 0.15641513315152233, 0.009347490441004214]","[3.2818561541989153, 0.0050888532367541085, 0.008435414336642732, 0.00469999892786997, 0.007629000544887015, 0.2055]"
14,1,"[6.373799372882881, 0.014503358109098783, 0.012985913352309586, 0.003615394628839142, 0.16133599561332046, 0.00615830984169383]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816303, 0.0077270861069568975, 0.2055]"
14,2,"[6.373799372882881, 0.014503358109098783, 0.012985913352309586, 0.003615394628839142, 0.16133599561332046, 0.00615830984169383]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,3,"[6.373799372882881, 0.014503358109098783, 0.012985913352309586, 0.003615394628839142, 0.16133599561332046, 0.00615830984169383]","[2.536283655108442, 0.002904890599537025, 0.004980616635739674, 0.0046686769744327065, 0.0076366293339022355, 0.2055]"
14,4,"[6.373799372882881, 0.014503358109098783, 0.012985913352309586, 0.003615394628839142, 0.16133599561332046, 0.00615830984169383]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,5,"[6.373799372882881, 0.014503358109098783, 0.012985913352309586, 0.003615394628839142, 0.16133599561332046, 0.00615830984169383]","[2.8818906010301477, 0.003983890490143537, 0.006767306234727974, 0.004699744735363736, 0.007629096839143214, 0.2055]"
14,6,"[6.373799372882881, 0.014503358109098783, 0.012985913352309586, 0.003615394628839142, 0.16133599561332046, 0.00615830984169383]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,7,"[6.373799372882881, 0.014503358109098783, 0.012985913352309586, 0.003615394628839142, 0.16133599561332046, 0.00615830984169383]","[3.281856154198916, 0.005088853236754113, 0.008435414336642726, 0.00469999892786997, 0.007629000544887016, 0.2055]"
15,1,"[7.282090224926159, 0.013816048714678961, 0.012868966468137474, 0.005600061999869691, 0.2471045374124758, 0.008538314545807158]","[2.2896757395491107, 0.0018267801166781661, 0.003092507956477956, 0.0037303600957816307, 0.007727086106956896, 0.2055]"
15,2,"[7.282090224926159, 0.013816048714678961, 0.012868966468137474, 0.005600061999869691, 0.2471045374124758, 0.008538314545807158]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,3,"[7.282090224926159, 0.013816048714678961, 0.012868966468137474, 0.005600061999869691, 0.2471045374124758, 0.008538314545807158]","[2.5362836551084413, 0.002904890599537024, 0.004980616635739676, 0.0046686769744327065, 0.007636629333902235, 0.2055]"
15,4,"[7.282090224926159, 0.013816048714678961, 0.012868966468137474, 0.005600061999869691, 0.2471045374124758, 0.008538314545807158]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,5,"[7.282090224926159, 0.013816048714678961, 0.012868966468137474, 0.005600061999869691, 0.2471045374124758, 0.008538314545807158]","[2.881890601030147, 0.003983890490143534, 0.0067673062347279765, 0.004699744735363736, 0.007629096839143217, 0.2055]"
15,6,"[7.282090224926159, 0.013816048714678961, 0.012868966468137474, 0.005600061999869691, 0.2471045374124758, 0.008538314545807158]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,7,"[7.282090224926159, 0.013816048714678961, 0.012868966468137474, 0.005600061999869691, 0.2471045374124758, 0.008538314545807158]","[3.2818561541989153, 0.005088853236754111, 0.008435414336642728, 0.00469999892786997, 0.007629000544887017, 0.2055]"
16,1,"[8.057203952210418, 0.011684437186362572, 0.01317579954663739, 0.005018320134983474, 0.23390422828113744, 0.005924480387882186]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956897, 0.2055]"
16,2,"[8.057203952210418, 0.011684437186362572, 0.01317579954663739, 0.005018320134983474, 0.23390422828113744, 0.005924480387882186]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,3,"[8.057203952210418, 0.011684437186362572, 0.01317579954663739, 0.005018320134983474, 0.23390422828113744, 0.005924480387882186]","[2.5362836551084422, 0.002904890599537025, 0.004980616635739675, 0.004668676974432707, 0.007636629333902228, 0.2055]"
16,4,"[8.057203952210418, 0.011684437186362572, 0.01317579954663739, 0.005018320134983474, 0.23390422828113744, 0.005924480387882186]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,5,"[8.057203952210418, 0.011684437186362572, 0.01317579954663739, 0.005018320134983474, 0.23390422828113744, 0.005924480387882186]","[2.881890601030144, 0.003983890490143524, 0.006767306234727983, 0.004699744735363736, 0.007629096839143214, 0.2055]"
16,6,"[8.057203952210418, 0.011684437186362572, 0.01317579954663739, 0.005018320134983474, 0.23390422828113744, 0.005924480387882186]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,7,"[8.057203952210418, 0.011684437186362572, 0.01317579954663739, 0.005018320134983474, 0.23390422828113744, 0.005924480387882186]","[3.281856154198914, 0.005088853236754106, 0.008435414336642723, 0.00469999892786997, 0.007629000544887016, 0.2055]"
17,1,"[5.363670860333749, 0.009474523964079811, 0.01080653282867262, 0.003752217901445457, 0.16970171402982612, 0.009011243607465518]","[2.2896757395491107, 0.0018267801166781665, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956892, 0.2055]"
17,2,"[5.363670860333749, 0.009474523964079811, 0.01080653282867262, 0.003752217901445457, 0.16970171402982612, 0.009011243607465518]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,3,"[5.363670860333749, 0.009474523964079811, 0.01080653282867262, 0.003752217901445457, 0.16970171402982612, 0.009011243607465518]","[2.536283655108442, 0.0029048905995370244, 0.004980616635739675, 0.0046686769744327065, 0.007636629333902233, 0.2055]"
17,4,"[5.363670860333749, 0.009474523964079811, 0.01080653282867262, 0.003752217901445457, 0.16970171402982612, 0.009011243607465518]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,5,"[5.363670860333749, 0.009474523964079811, 0.01080653282867262, 0.003752217901445457, 0.16970171402982612, 0.009011243607465518]","[2.8818906010301464, 0.003983890490143533, 0.0067673062347279765, 0.004699744735363736, 0.007629096839143216, 0.2055]"
17,6,"[5.363670860333749, 0.009474523964079811, 0.01080653282867262, 0.003752217901445457, 0.16970171402982612, 0.009011243607465518]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,7,"[5.363670860333749, 0.009474523964079811, 0.01080653282867262, 0.003752217901445457, 0.16970171402982612, 0.009011243607465518]","[3.281856154198922, 0.005088853236754129, 0.00843541433664271, 0.00469999892786997, 0.007629000544887018, 0.2055]"
18,1,"[5.394226859570088, 0.013362253695971753, 0.011315605653764568, 0.005535758903256322, 0.20203379385119777, 0.008438521797038363]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956893, 0.2055]"
18,2,"[5.394226859570088, 0.013362253695971753, 0.011315605653764568, 0.005535758903256322, 0.20203379385119777, 0.008438521797038363]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,3,"[5.394226859570088, 0.013362253695971753, 0.011315605653764568, 0.005535758903256322, 0.20203379385119777, 0.008438521797038363]","[2.536283655108442, 0.002904890599537025, 0.004980616635739675, 0.0046686769744327065, 0.007636629333902233, 0.2055]"
18,4,"[5.394226859570088, 0.013362253695971753, 0.011315605653764568, 0.005535758903256322, 0.20203379385119777, 0.008438521797038363]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
